Mutant,org.apache.commons.math.stat.regression.SimpleRegressionTest[testCorr],org.apache.commons.math.stat.regression.SimpleRegressionTest[testNaNs],org.apache.commons.math.stat.regression.SimpleRegressionTest[testSSENonNegative],org.apache.commons.math.stat.regression.SimpleRegressionTest[testNorris],org.apache.commons.math.stat.regression.SimpleRegressionTest[testRandom],org.apache.commons.math.stat.regression.SimpleRegressionTest[testPerfectNegative],org.apache.commons.math.stat.regression.SimpleRegressionTest[testInference],org.apache.commons.math.stat.regression.SimpleRegressionTest[testPerfect],org.apache.commons.math.stat.regression.SimpleRegressionTest[testClear],org.apache.commons.math.stat.regression.SimpleRegression_ESTest[test09],org.apache.commons.math.stat.regression.SimpleRegression_ESTest[test04],org.apache.commons.math.stat.regression.SimpleRegression_ESTest[test01],org.apache.commons.math.stat.regression.SimpleRegression_ESTest[test11],org.apache.commons.math.stat.regression.SimpleRegression_ESTest[test10],org.apache.commons.math.stat.regression.SimpleRegression_ESTest[test08],org.apache.commons.math.stat.regression.SimpleRegression_ESTest[test07],org.apache.commons.math.stat.regression.SimpleRegression_ESTest[test06],org.apache.commons.math.stat.regression.SimpleRegression_ESTest[test02],org.apache.commons.math.stat.regression.SimpleRegression_ESTest[test12],org.apache.commons.math.stat.regression.SimpleRegression_ESTest[test00],org.apache.commons.math.stat.regression.SimpleRegression_ESTest[test03],org.apache.commons.math.stat.regression.SimpleRegression_ESTest[test05],Total,Equiv?
289, , , , , , ,EXC, , , , , ,FAIL, , , ,FAIL, ,PASS, , , ,3,
29,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL, , , ,FAIL,PASS, , , , , , , ,10,
290, , , , , , ,EXC, , , , , ,FAIL, , , ,FAIL, ,PASS, , , ,3,
291, , , , , , ,PASS, , , , , ,FAIL, , , ,PASS, ,PASS, , , ,1,
292, , , , , , ,FAIL, , , , , ,PASS, , , ,PASS, ,PASS, , , ,1,
293, , , , , , ,FAIL, , , , , ,FAIL, , , ,PASS, ,PASS, , , ,2,
294, , , , , , ,EXC, , , , , ,PASS, , , ,FAIL, ,PASS, , , ,2,
295, , , , , , ,EXC, , , , , , , , , ,FAIL, ,PASS, , , ,2,
296, , , , , , ,PASS, , , , , , , , , ,PASS, ,FAIL, , , ,1,
297, , , , , , ,EXC, , , , , , , , , ,FAIL, ,FAIL, , , ,3,
298, , , , , , ,PASS, , , , , , , , , ,PASS, ,FAIL, , , ,1,
299, , , , , , ,PASS, , , , , , , , , ,PASS, ,PASS, , , ,0,
3,FAIL,FAIL,PASS,FAIL,PASS,PASS,FAIL,PASS,PASS,PASS,FAIL,FAIL,PASS,FAIL,PASS,FAIL,PASS,FAIL,PASS,FAIL,PASS,FAIL,11,
30,FAIL,FAIL,PASS,FAIL,PASS,PASS,FAIL,PASS,FAIL,PASS, , , ,PASS,PASS, , , , , , , ,5,
300, , , , , , ,EXC, , , , , , , , , ,FAIL, ,FAIL, , , ,3,
301, , , , , , ,EXC, , , , , , , , , ,FAIL, ,PASS, , , ,2,
302, , , , , , ,PASS, , , , , , , , , ,PASS, ,FAIL, , , ,1,
303, , , , , , ,EXC, , , , , , , , , ,FAIL, ,PASS, , , ,2,
304, , , , , , ,PASS, , , , , ,PASS, , , ,PASS, ,PASS, , , ,0,
305, , , , , , ,FAIL, , , , , ,FAIL, , , ,PASS, ,FAIL, , , ,3,
306, , , , , , ,EXC, , , , , ,FAIL, , , ,FAIL, ,FAIL, , , ,4,
307, , , , , , ,FAIL, , , , , ,FAIL, , , ,PASS, ,FAIL, , , ,3,
308, , , , , , ,PASS, , , , , ,PASS, , , ,PASS, ,FAIL, , , ,1,
309, , , , , , ,FAIL, , , , , ,FAIL, , , ,PASS, ,PASS, , , ,2,
31,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL, , , ,FAIL,PASS, , , , , , , ,10,
310, , , , , , ,EXC, , , , , ,PASS, , , ,FAIL, ,PASS, , , ,2,
311, , , , , , ,EXC, , , , , , , , , , , , , , , ,1,
312, , , , , , ,EXC, , , , , , , , , , , , , , , ,1,
313, , , , , , ,EXC, , , , , , , , , , , , , , , ,1,
314, , , , , , ,EXC, , , , , , , , , , , , , , , ,1,
315, , , , , , ,FAIL, , , , , , , , , , , , , , , ,1,
316, , , , , , ,FAIL, , , , , , , , , , , , , , , ,1,
317, , , , , , ,EXC, , , , , , , , , , , , , , , ,1,
318, , , , , , ,EXC, , , , , , , , , , , , , , , ,1,
319, , , , , , ,FAIL, , , , , , , , , , , , , , , ,1,
32,FAIL,PASS,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL, , , ,FAIL,FAIL, , , , , , , ,10,
320, , , , , , ,FAIL, , , , , , , , , , , , , , , ,1,
321, , , , , , ,EXC, , , , , , , , , , , , , , , ,1,
322, , , , , , ,EXC, , , , , , , , , , , , , , , ,1,
323, , , , , , ,FAIL, , , , , , , , , ,PASS, , , , , ,1,
324, , , , , , ,FAIL, , , , , , , , , ,PASS, , , , , ,1,
325, , , , , , ,FAIL, , , , , , , , , ,PASS, , , , , ,1,
326, , , , , , ,FAIL, , , , , , , , , ,PASS, , , , , ,1,
327, , , , ,FAIL,PASS,FAIL,PASS, , , , , , ,PASS, , , , , , , ,2,
328, , , , ,FAIL,PASS,FAIL,PASS, , , , , , ,PASS, , , , , , , ,2,
329, , , , ,FAIL,FAIL,FAIL,FAIL, , , , , , ,PASS, , , , , , , ,4,
33,FAIL,PASS,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS, , , ,FAIL,PASS, , , , , , , ,8,
330, , , , ,FAIL,FAIL,FAIL,FAIL, , , , , , ,PASS, , , , , , , ,4,
331, , , , ,PASS,FAIL,FAIL,FAIL, , , , , , ,PASS, , , , , , , ,3,
332, , , , ,PASS,FAIL,FAIL,FAIL, , , , , , ,PASS, , , , , , , ,3,
333, , , , ,PASS,PASS,FAIL,PASS, , , , , , ,PASS, , , , , , , ,1,
334, , , , ,FAIL,PASS,FAIL,PASS, , , , , , ,PASS, , , , , , , ,2,
335, , , , ,PASS,PASS,PASS,PASS, , , , , , ,PASS, , , , , , , ,0,
336, , , , ,FAIL,FAIL,FAIL,FAIL, , , , , , ,PASS, , , , , , , ,4,
337, , , , ,FAIL,FAIL,FAIL,FAIL, , , , , , ,PASS, , , , , , , ,4,
338, , , , ,FAIL,FAIL,FAIL,FAIL, , , , , , ,PASS, , , , , , , ,4,
339, , , , ,PASS,FAIL,FAIL,FAIL, , , , , , ,PASS, , , , , , , ,3,
34,FAIL,PASS,PASS,FAIL,FAIL,PASS,FAIL,PASS,FAIL,PASS, , , ,FAIL,PASS, , , , , , , ,6,
340, , , , ,FAIL,FAIL,FAIL,FAIL, , , , , , ,PASS, , , , , , , ,4,
341, , , , ,FAIL,FAIL,FAIL,FAIL, , , , , , ,PASS, , , , , , , ,4,
342, , , , ,FAIL,FAIL,FAIL,FAIL, , , , , , ,PASS, , , , , , , ,4,
343, ,PASS, ,FAIL, , , , , , , ,PASS, , , , , , , ,PASS, , ,1,
344, ,PASS, ,FAIL, , , , , , , ,PASS, , , , , , , ,PASS, , ,1,
345, ,PASS, ,FAIL, , , , , , , ,PASS, , , , , , , ,PASS, , ,1,
346, ,PASS, ,FAIL, , , , , , , ,PASS, , , , , , , ,PASS, , ,1,
347, ,PASS, ,FAIL, , , , , , , ,PASS, , , , , , , ,PASS, , ,1,
348, ,PASS, ,FAIL, , , , , , , ,PASS, , , , , , , ,PASS, , ,1,
349, ,PASS, ,FAIL, , , , , , , ,PASS, , , , , , , ,PASS, , ,1,
35,FAIL,PASS,PASS,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL, , , ,FAIL,FAIL, , , , , , , ,9,
350, ,PASS, ,FAIL, , , , , , , ,PASS, , , , , , , ,PASS, , ,1,
351, ,PASS, ,FAIL, , , , , , , ,PASS, , , , , , , ,PASS, , ,1,
352, ,PASS, ,FAIL, , , , , , , ,PASS, , , , , , , ,PASS, , ,1,
353, ,PASS, ,FAIL, , , , , , , ,PASS, , , , , , , ,PASS, , ,1,
354, ,PASS, ,FAIL, , , , , , , ,PASS, , , , , , , ,PASS, , ,1,
355, ,PASS, ,FAIL, , , , , ,FAIL, ,PASS, , , ,PASS, ,PASS, ,PASS, , ,2,
356, ,PASS, ,FAIL, , , , , ,PASS, ,PASS, , , ,PASS, ,PASS, ,PASS, , ,1,
357, ,PASS, ,FAIL, , , , , ,PASS, ,PASS, , , ,PASS, ,PASS, ,PASS, , ,1,
358, ,PASS, ,FAIL, , , , , ,FAIL, ,PASS, , , ,PASS, ,PASS, ,PASS, , ,2,
359, ,PASS, ,FAIL, , , , , ,PASS, ,PASS, , , ,PASS, ,PASS, ,PASS, , ,1,
36,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL, , , ,FAIL,PASS, , , , , , , ,10,
360, ,PASS, ,FAIL, , , , , ,FAIL, ,PASS, , , ,PASS, ,PASS, ,PASS, , ,2,
361, ,PASS, ,FAIL, , , , , ,FAIL, ,PASS, , , ,PASS, ,PASS, ,PASS, , ,2,
362, ,PASS, ,FAIL, , , , , ,PASS, ,PASS, , , ,PASS, ,PASS, ,PASS, , ,1,
363, , , , ,PASS,PASS,FAIL,PASS, , , , , , ,PASS, ,PASS, , , , , ,1,
364, , , , ,PASS,PASS,FAIL,PASS, , , , , , ,PASS, ,FAIL, , , , , ,2,
365, , , , ,EXC,EXC,FAIL,EXC, , , , , , ,EXC, ,PASS, , , , , ,5,
366, , , , ,PASS,PASS,FAIL,PASS, , , , , , ,PASS, ,PASS, , , , , ,1,
367, , , , ,PASS,PASS,FAIL,PASS, , , , , , ,PASS, ,FAIL, , , , , ,2,
368, , , , ,PASS,PASS,FAIL,PASS, , , , , , ,PASS, ,PASS, , , , , ,1,
37,FAIL,PASS,PASS,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS, , , ,FAIL,PASS, , , , , , , ,7,
38,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL, , , ,FAIL,PASS, , , , , , , ,10,
39,FAIL,PASS,PASS,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS, , , ,PASS,PASS, , , , , , , ,6,
4,FAIL,FAIL,PASS,FAIL,PASS,PASS,FAIL,PASS,PASS,PASS,FAIL,FAIL,PASS,FAIL,PASS,FAIL,PASS,FAIL,PASS,FAIL,PASS,FAIL,11,
40,FAIL,FAIL,PASS,FAIL,PASS,PASS,FAIL,PASS,FAIL,FAIL, , , ,FAIL,PASS, , , , , , , ,7,
41,FAIL,FAIL,PASS,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS, , , ,FAIL,PASS, , , , , , , ,8,
42,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL, , , ,FAIL,PASS, , , , , , , ,10,
43,FAIL,PASS,PASS,FAIL,PASS,PASS,FAIL,PASS,FAIL,PASS, , , ,PASS,PASS, , , , , , , ,4,
44,FAIL,PASS,PASS,FAIL,PASS,PASS,FAIL,PASS,FAIL,PASS, , , ,FAIL,PASS, , , , , , , ,5,
45,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL, , , ,FAIL,PASS, , , , , , , ,10,
46,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL, , , ,FAIL,PASS, , , , , , , ,10,
47,FAIL,PASS,PASS,FAIL,PASS,PASS,FAIL,PASS,FAIL,PASS, , , ,FAIL,PASS, , , , , , , ,5,
48,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL, , , ,FAIL,PASS, , , , , , , ,10,
49,FAIL,PASS,PASS,FAIL,PASS,PASS,FAIL,PASS,FAIL,PASS, , , ,FAIL,PASS, , , , , , , ,5,
5,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1,
50,FAIL,FAIL,PASS,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS, , , ,FAIL,PASS, , , , , , , ,8,
51,FAIL,PASS,PASS,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS, , , ,FAIL,PASS, , , , , , , ,7,
52,FAIL,FAIL,PASS,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS, , , ,FAIL,PASS, , , , , , , ,8,
53,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS, , , ,FAIL,PASS, , , , , , , ,9,
54,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL, , , ,FAIL,PASS, , , , , , , ,10,
55,FAIL,FAIL,PASS,FAIL,FAIL,PASS,FAIL,PASS,FAIL,PASS, , , ,FAIL,FAIL, , , , , , , ,8,
56,FAIL,PASS,PASS,FAIL,FAIL,PASS,FAIL,PASS,FAIL,PASS, , , ,PASS,PASS, , , , , , , ,5,
57,FAIL,FAIL,PASS,FAIL,FAIL,PASS,FAIL,PASS,FAIL,PASS, , , ,FAIL,PASS, , , , , , , ,7,
58,FAIL,PASS,PASS,FAIL,PASS,PASS,FAIL,PASS,FAIL,PASS, , , ,PASS,FAIL, , , , , , , ,5,
59,FAIL,FAIL,PASS,FAIL,PASS,PASS,FAIL,PASS,FAIL,PASS, , , ,FAIL,PASS, , , , , , , ,6,
6,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1,
60,FAIL,PASS,PASS,FAIL,PASS,PASS,FAIL,PASS,FAIL,FAIL, , , ,FAIL,FAIL, , , , , , , ,7,
61,FAIL,FAIL,PASS,FAIL,FAIL,PASS,FAIL,PASS,FAIL,FAIL, , , ,FAIL,FAIL, , , , , , , ,9,
62,FAIL,PASS,PASS,FAIL,PASS,PASS,FAIL,PASS,FAIL,PASS, , , ,PASS,PASS, , , , , , , ,4,
63,FAIL,PASS,PASS,FAIL,PASS,PASS,FAIL,PASS,FAIL,PASS, , , ,FAIL,PASS, , , , , , , ,5,
64,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS, , , ,FAIL,FAIL, , , , , , , ,10,
65,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS, , , ,FAIL,FAIL, , , , , , , ,10,
66,FAIL,PASS,PASS,FAIL,PASS,PASS,FAIL,PASS,FAIL,PASS, , , ,FAIL,PASS, , , , , , , ,5,
67,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS, , , ,FAIL,FAIL, , , , , , , ,10,
68,FAIL,PASS,PASS,FAIL,PASS,PASS,FAIL,PASS,FAIL,PASS, , , ,FAIL,PASS, , , , , , , ,5,
69,FAIL,PASS,PASS,FAIL,PASS,PASS,FAIL,PASS,FAIL,PASS, , , ,FAIL,PASS, , , , , , , ,5,
7,FAIL,PASS,PASS,FAIL,PASS,PASS,FAIL,PASS,PASS,FAIL,PASS,PASS,PASS,FAIL,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,6,
70,FAIL,PASS,PASS,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS, , , ,FAIL,PASS, , , , , , , ,7,
71,FAIL,PASS,PASS,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL, , , ,FAIL,FAIL, , , , , , , ,9,
72,FAIL,PASS,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL, , , ,PASS,FAIL, , , , , , , ,9,
73,FAIL,FAIL,PASS,FAIL,FAIL,PASS,FAIL,PASS,FAIL,PASS, , , ,FAIL,PASS, , , , , , , ,7,
74,FAIL,PASS,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL, , , ,FAIL,PASS, , , , , , , ,9,
75,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL, , , ,FAIL,PASS, , , , , , , ,9,
76,FAIL,FAIL,PASS,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL, , , ,FAIL,PASS, , , , , , , ,9,
77,FAIL,PASS,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL, , , ,PASS,PASS, , , , , , , ,8,
78,FAIL,PASS,PASS,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS, , , ,FAIL,PASS, , , , , , , ,7,
79,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL, , , ,FAIL,PASS, , , , , , , ,10,
8,FAIL,PASS,PASS,FAIL,PASS,PASS,FAIL,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5,
80,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL, , , ,PASS,PASS, , , , , , , ,9,
81,FAIL,PASS,PASS,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS, , , ,PASS,PASS, , , , , , , ,6,
82,FAIL,PASS,PASS,FAIL,PASS,PASS,FAIL,PASS,FAIL,PASS, , , ,PASS,PASS, , , , , , , ,4,
83,FAIL,FAIL,PASS,FAIL,FAIL,PASS,FAIL,PASS,FAIL,FAIL, , , ,PASS,PASS, , , , , , , ,7,
84,FAIL,FAIL,PASS,FAIL,FAIL,PASS,FAIL,PASS,FAIL,FAIL, , , ,PASS,PASS, , , , , , , ,7,
85,FAIL,PASS,PASS,FAIL,PASS,PASS,FAIL,PASS,FAIL,PASS, , , ,PASS,PASS, , , , , , , ,4,
86,FAIL,FAIL,PASS,FAIL,FAIL,PASS,FAIL,PASS,FAIL,FAIL, , , ,PASS,PASS, , , , , , , ,7,
87,FAIL,PASS,PASS,FAIL,PASS,PASS,FAIL,PASS,FAIL,PASS, , , ,PASS,PASS, , , , , , , ,4,
88,FAIL,PASS,PASS,FAIL,FAIL,PASS,FAIL,PASS,FAIL,PASS, , , ,PASS,PASS, , , , , , , ,5,
89,FAIL,PASS,PASS,FAIL,FAIL,PASS,FAIL,PASS,FAIL,PASS, , , ,PASS,PASS, , , , , , , ,5,
9,FAIL,FAIL,PASS,FAIL,PASS,PASS,FAIL,PASS,PASS,FAIL,FAIL,FAIL,PASS,FAIL,PASS,FAIL,PASS,FAIL,PASS,FAIL,PASS,FAIL,12,
90,FAIL,FAIL,PASS,FAIL,FAIL,PASS,FAIL,PASS,FAIL,FAIL, , , ,FAIL,PASS, , , , , , , ,8,
91,FAIL,FAIL,PASS,FAIL,FAIL,PASS,FAIL,PASS,FAIL,FAIL, , , ,PASS,PASS, , , , , , , ,7,
92,FAIL,PASS,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS, , , ,FAIL,PASS, , , , , , , ,8,
93,FAIL,PASS,PASS,FAIL,PASS,PASS,FAIL,PASS,FAIL,PASS, , , ,PASS,PASS, , , , , , , ,4,
94,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS, , , ,PASS,PASS, , , , , , , ,9,
95,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS, , , ,PASS,PASS, , , , , , , ,9,
96,FAIL,PASS,PASS,FAIL,PASS,PASS,FAIL,PASS,FAIL,PASS, , , ,PASS,PASS, , , , , , , ,4,
97,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS, , , ,PASS,PASS, , , , , , , ,9,
98,FAIL,PASS,PASS,FAIL,PASS,PASS,FAIL,PASS,FAIL,PASS, , , ,PASS,PASS, , , , , , , ,4,
99,FAIL,PASS,PASS,FAIL,PASS,PASS,FAIL,PASS,FAIL,PASS, , , ,PASS,PASS, , , , , , , ,4,
