Mutant,org.apache.commons.math.geometry.euclidean.threed.RotationTest[testIdentity],org.apache.commons.math.geometry.euclidean.threed.RotationTest[testIssue639],org.apache.commons.math.geometry.euclidean.threed.RotationTest[testRevert],org.apache.commons.math.geometry.euclidean.threed.RotationTest[testQuaternion],org.apache.commons.math.geometry.euclidean.threed.RotationTest[testVectorTwoPairs],org.apache.commons.math.geometry.euclidean.threed.RotationTest[testVectorOnePair],org.apache.commons.math.geometry.euclidean.threed.RotationTest[testMatrix],org.apache.commons.math.geometry.euclidean.threed.RotationTest[testSingularities],org.apache.commons.math.geometry.euclidean.threed.RotationTest[testCompose],org.apache.commons.math.geometry.euclidean.threed.RotationTest[testComposeInverse],org.apache.commons.math.geometry.euclidean.threed.PlaneTest[testRotate],org.apache.commons.math.geometry.euclidean.threed.PolyhedronsSetTest[testIsometry],org.apache.commons.math.geometry.euclidean.threed.RotationTest[testApplyInverseTo],org.apache.commons.math.geometry.euclidean.threed.RotationTest[testAxisAngle],org.apache.commons.math.geometry.euclidean.threed.RotationTest[testAngles],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test44],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test01],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test45],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test43],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test09],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test06],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test08],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test25],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test22],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test23],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test42],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test24],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test20],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test54],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test58],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test18],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test48],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test02],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test21],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test52],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test55],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test19],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test40],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test04],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test05],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test46],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test03],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test47],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test60],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test26],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test13],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test53],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test28],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test29],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test51],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test59],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test11],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test17],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test56],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test07],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test50],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test27],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test15],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test16],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test49],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test31],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test57],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test32],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test61],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test41],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test34],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test38],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test35],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test62],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test36],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test33],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test39],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test14],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test63],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test30],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test37],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test00],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test12],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test10],Total,Equiv?
1791,FAIL, , ,PASS,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS, ,PASS,PASS, ,PASS, , , , ,FAIL, , ,PASS,PASS, ,PASS, , ,FAIL,PASS, ,PASS, , ,PASS, ,PASS,PASS, , ,PASS, ,PASS,PASS,PASS,PASS, ,PASS, ,PASS, , , ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS, , ,PASS,PASS, , , ,14,
1792,FAIL, , ,PASS,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS, ,PASS,PASS, ,PASS, , , , ,FAIL, , ,PASS,PASS, ,PASS, , ,FAIL,PASS, ,PASS, , ,PASS, ,PASS,PASS, , ,PASS, ,PASS,PASS,PASS,PASS, ,PASS, ,PASS, , , ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS, , ,PASS,PASS, , , ,14,
1793,FAIL, , ,PASS,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS, ,PASS,PASS, ,PASS, , , , ,PASS, , ,PASS,PASS, ,PASS, , ,PASS,PASS, ,PASS, , ,PASS, ,PASS,PASS, , ,PASS, ,PASS,PASS,PASS,PASS, ,PASS, ,PASS, , , ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,FAIL, , ,PASS,PASS, , , ,13,
1794,FAIL, , ,PASS,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS, ,FAIL,PASS, ,PASS, , , , ,PASS, , ,PASS,PASS, ,PASS, , ,FAIL,PASS, ,PASS, , ,PASS, ,PASS,PASS, , ,PASS, ,PASS,PASS,PASS,PASS, ,PASS, ,PASS, , , ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,FAIL, , ,PASS,PASS, , , ,15,
1795,PASS, , ,PASS,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS, ,PASS,PASS, ,PASS, , , , ,PASS, , ,PASS,PASS, ,PASS, , ,FAIL,PASS, ,PASS, , ,PASS, ,PASS,PASS, , ,PASS, ,PASS,PASS,PASS,PASS, ,PASS, ,PASS, , , ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS, , ,PASS,PASS, , , ,12,
1796,PASS, , ,PASS,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS, ,PASS,PASS, ,PASS, , , , ,PASS, , ,PASS,PASS, ,PASS, , ,FAIL,PASS, ,PASS, , ,PASS, ,PASS,PASS, , ,PASS, ,PASS,PASS,PASS,PASS, ,PASS, ,PASS, , , ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, , ,PASS,PASS, , , ,11,
1797,FAIL, , ,PASS,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS, ,FAIL,PASS, ,PASS, , , , ,PASS, , ,PASS,PASS, ,PASS, , ,FAIL,PASS, ,PASS, , ,PASS, ,PASS,PASS, , ,PASS, ,PASS,PASS,PASS,PASS, ,PASS, ,PASS, , , ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,FAIL, , ,PASS,PASS, , , ,15,
1798,FAIL, , ,PASS,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS, ,FAIL,PASS, ,PASS, , , , ,PASS, , ,PASS,PASS, ,PASS, , ,FAIL,PASS, ,PASS, , ,PASS, ,PASS,PASS, , ,PASS, ,PASS,PASS,PASS,PASS, ,PASS, ,PASS, , , ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,FAIL, , ,PASS,PASS, , , ,15,
1799,FAIL, , ,PASS,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS, ,PASS,PASS, ,PASS, , , , ,PASS, , ,PASS,PASS, ,PASS, , ,FAIL,PASS, ,PASS, , ,PASS, ,PASS,PASS, , ,PASS, ,PASS,PASS,PASS,PASS, ,PASS, ,PASS, , , ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,FAIL, , ,PASS,PASS, , , ,14,
18,FAIL, ,PASS,FAIL, , , , , , , , , , , ,PASS,FAIL,PASS, , , , , , , , , , , , , , , , , , , , , , ,FAIL, ,FAIL, , , , ,PASS, , , , , , , , , , , , , , , , , , , ,FAIL, , ,PASS, ,FAIL, , , , , , ,7,
180, , , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS, , , , , , , , ,PASS, , ,PASS,PASS, , , , , , , , , , , , , ,PASS, , , , , , ,0,
1800,PASS, , ,PASS,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS, ,PASS,PASS, ,PASS, , , , ,PASS, , ,PASS,PASS, ,PASS, , ,FAIL,PASS, ,PASS, , ,PASS, ,PASS,PASS, , ,PASS, ,PASS,PASS,PASS,PASS, ,PASS, ,PASS, , , ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS, , ,PASS,PASS, , , ,12,
1801,FAIL, , ,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS, ,PASS,PASS, ,PASS, , , , ,PASS, , ,PASS,PASS, ,PASS, , ,FAIL,PASS, ,PASS, , ,PASS, ,PASS,PASS, , ,PASS, ,PASS,PASS,PASS,PASS, ,PASS, ,PASS, , , ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS, , ,PASS,PASS, , , ,14,
1802,FAIL, , ,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS, ,PASS,PASS, ,PASS, , , , ,PASS, , ,PASS,PASS, ,PASS, , ,FAIL,PASS, ,PASS, , ,PASS, ,PASS,PASS, , ,PASS, ,PASS,PASS,PASS,PASS, ,PASS, ,PASS, , , ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,FAIL, , ,PASS,PASS, , , ,15,
1803,FAIL, , ,PASS,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS, ,PASS,PASS, ,PASS, , , , ,FAIL, , ,PASS,PASS, ,PASS, , ,FAIL,PASS, ,PASS, , ,PASS, ,PASS,PASS, , ,PASS, ,PASS,PASS,PASS,PASS, ,PASS, ,PASS, , , ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS, , ,PASS,PASS, , , ,14,
1804,FAIL, , ,PASS,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS, ,PASS,PASS, ,PASS, , , , ,FAIL, , ,PASS,PASS, ,PASS, , ,FAIL,PASS, ,PASS, , ,PASS, ,PASS,PASS, , ,PASS, ,PASS,PASS,PASS,PASS, ,PASS, ,PASS, , , ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,FAIL, , ,PASS,PASS, , , ,15,
1805,FAIL, , ,PASS,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS, ,FAIL,PASS, ,PASS, , , , ,FAIL, , ,PASS,PASS, ,PASS, , ,FAIL,PASS, ,PASS, , ,PASS, ,PASS,PASS, , ,PASS, ,PASS,PASS,PASS,PASS, ,PASS, ,PASS, , , ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS, , ,PASS,PASS, , , ,15,
1806,FAIL, , ,FAIL,FAIL,PASS,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS, ,PASS,PASS, ,PASS, , , , ,PASS, , ,PASS,PASS, ,PASS, , ,FAIL,PASS, ,PASS, , ,PASS, ,PASS,PASS, , ,PASS, ,PASS,PASS,PASS,PASS, ,PASS, ,PASS, , , ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,FAIL, , ,PASS,PASS, , , ,14,
1807,PASS, , ,PASS,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS, ,PASS,PASS, ,PASS, , , , ,FAIL, , ,PASS,PASS, ,PASS, , ,FAIL,PASS, ,PASS, , ,PASS, ,PASS,PASS, , ,PASS, ,PASS,PASS,PASS,PASS, ,PASS, ,PASS, , , ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS, , ,PASS,PASS, , , ,13,
1808,PASS, , ,PASS,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS, ,PASS,PASS, ,PASS, , , , ,FAIL, , ,PASS,PASS, ,PASS, , ,FAIL,PASS, ,PASS, , ,PASS, ,PASS,PASS, , ,PASS, ,PASS,PASS,PASS,PASS, ,PASS, ,PASS, , , ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS, , ,PASS,PASS, , , ,13,
1809,FAIL, , ,PASS,FAIL,PASS,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS, ,FAIL,PASS, ,PASS, , , , ,PASS, , ,PASS,PASS, ,PASS, , ,FAIL,PASS, ,PASS, , ,PASS, ,PASS,PASS, , ,PASS, ,PASS,PASS,PASS,PASS, ,PASS, ,PASS, , , ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,FAIL, , ,PASS,PASS, , , ,14,
181, , , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,FAIL, , , , , , , , ,PASS, , ,PASS,PASS, , , , , , , , , , , , , ,PASS, , , , , , ,2,
1810,FAIL, , ,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS, ,PASS,PASS, ,PASS, , , , ,PASS, , ,PASS,PASS, ,PASS, , ,FAIL,PASS, ,PASS, , ,PASS, ,PASS,PASS, , ,PASS, ,PASS,PASS,PASS,PASS, ,PASS, ,PASS, , , ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,FAIL, , ,PASS,PASS, , , ,15,
1811,FAIL, , ,PASS,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS, ,PASS,PASS, ,PASS, , , , ,PASS, , ,PASS,PASS, ,PASS, , ,FAIL,PASS, ,PASS, , ,PASS, ,PASS,PASS, , ,PASS, ,PASS,PASS,PASS,PASS, ,PASS, ,PASS, , , ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,FAIL, , ,PASS,PASS, , , ,14,
1812,PASS, , ,PASS,FAIL,PASS,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS, ,PASS,PASS, ,PASS, , , , ,PASS, , ,PASS,PASS, ,PASS, , ,FAIL,PASS, ,PASS, , ,PASS, ,PASS,PASS, , ,PASS, ,PASS,PASS,PASS,PASS, ,PASS, ,PASS, , , ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS, , ,PASS,PASS, , , ,11,
1813,FAIL, , ,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,EXC,FAIL,FAIL,FAIL,PASS, ,FAIL,PASS, ,PASS, , , , ,FAIL, , ,PASS,PASS, ,PASS, , ,FAIL,PASS, ,PASS, , ,PASS, ,PASS,PASS, , ,PASS, ,PASS,PASS,PASS,PASS, ,PASS, ,PASS, , , ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS, , ,PASS,PASS, , , ,16,
1814,FAIL, , ,PASS,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS, ,PASS,PASS, ,PASS, , , , ,PASS, , ,PASS,PASS, ,PASS, , ,FAIL,PASS, ,PASS, , ,PASS, ,PASS,PASS, , ,PASS, ,PASS,PASS,PASS,PASS, ,PASS, ,PASS, , , ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,FAIL, , ,PASS,PASS, , , ,14,
1815,FAIL, , ,PASS,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS, ,FAIL,PASS, ,PASS, , , , ,FAIL, , ,PASS,PASS, ,PASS, , ,FAIL,PASS, ,PASS, , ,PASS, ,PASS,PASS, , ,PASS, ,PASS,PASS,PASS,PASS, ,PASS, ,PASS, , , ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS, , ,PASS,PASS, , , ,15,
1816,FAIL, , ,PASS,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS, ,FAIL,PASS, ,PASS, , , , ,FAIL, , ,PASS,PASS, ,PASS, , ,FAIL,PASS, ,PASS, , ,PASS, ,PASS,PASS, , ,PASS, ,PASS,PASS,PASS,PASS, ,PASS, ,PASS, , , ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS, , ,PASS,PASS, , , ,15,
1817,FAIL, , ,PASS,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS, ,FAIL,PASS, ,PASS, , , , ,FAIL, , ,PASS,PASS, ,PASS, , ,FAIL,PASS, ,PASS, , ,PASS, ,PASS,PASS, , ,PASS, ,PASS,PASS,PASS,PASS, ,PASS, ,PASS, , , ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS, , ,PASS,PASS, , , ,15,
1818,FAIL, , ,PASS,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS, ,FAIL,PASS, ,PASS, , , , ,FAIL, , ,PASS,PASS, ,PASS, , ,FAIL,PASS, ,PASS, , ,PASS, ,PASS,PASS, , ,PASS, ,PASS,PASS,PASS,PASS, ,PASS, ,PASS, , , ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS, , ,PASS,PASS, , , ,15,
1819,FAIL, , ,PASS,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS, ,FAIL,PASS, ,PASS, , , , ,PASS, , ,PASS,PASS, ,PASS, , ,FAIL,PASS, ,PASS, , ,PASS, ,PASS,PASS, , ,PASS, ,PASS,PASS,PASS,PASS, ,PASS, ,PASS, , , ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS, , ,PASS,PASS, , , ,14,
182, , , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,FAIL, , , , , , , , ,PASS, , ,PASS,PASS, , , , , , , , , , , , , ,PASS, , , , , , ,2,
1820,FAIL, , ,PASS,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS, ,FAIL,PASS, ,PASS, , , , ,PASS, , ,PASS,PASS, ,PASS, , ,PASS,PASS, ,PASS, , ,PASS, ,PASS,PASS, , ,PASS, ,PASS,PASS,PASS,PASS, ,PASS, ,PASS, , , ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, , ,PASS,PASS, , , ,12,
1821,FAIL, , ,PASS,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS, ,FAIL,PASS, ,PASS, , , , ,FAIL, , ,PASS,PASS, ,PASS, , ,FAIL,PASS, ,PASS, , ,PASS, ,PASS,PASS, , ,PASS, ,PASS,PASS,PASS,PASS, ,PASS, ,PASS, , , ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS, , ,PASS,PASS, , , ,15,
1822,FAIL, , ,PASS,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS, ,PASS,PASS, ,PASS, , , , ,FAIL, , ,PASS,PASS, ,PASS, , ,PASS,PASS, ,PASS, , ,FAIL, ,PASS,PASS, , ,PASS, ,PASS,PASS,PASS,PASS, ,PASS, ,PASS, , , ,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, , ,PASS,PASS, , , ,14,
1823,FAIL, , ,PASS,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS, ,FAIL,PASS, ,PASS, , , , ,FAIL, , ,PASS,PASS, ,PASS, , ,PASS,PASS, ,PASS, , ,FAIL, ,PASS,PASS, , ,PASS, ,PASS,PASS,PASS,PASS, ,PASS, ,PASS, , , ,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, , ,PASS,PASS, , , ,15,
1824,FAIL, , ,PASS,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,PASS, ,PASS,PASS, ,PASS, , , , ,FAIL, , ,PASS,PASS, ,PASS, , ,PASS,PASS, ,PASS, , ,PASS, ,PASS,PASS, , ,PASS, ,PASS,PASS,PASS,PASS, ,PASS, ,PASS, , , ,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, , ,PASS,PASS, , , ,12,
1825,FAIL, , ,PASS,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS, ,PASS,PASS, ,PASS, , , , ,FAIL, , ,PASS,PASS, ,PASS, , ,PASS,PASS, ,PASS, , ,FAIL, ,PASS,PASS, , ,PASS, ,PASS,PASS,PASS,PASS, ,PASS, ,PASS, , , ,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, , ,PASS,PASS, , , ,14,
1826,FAIL, , ,PASS,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS, ,PASS,PASS, ,PASS, , , , ,FAIL, , ,PASS,PASS, ,PASS, , ,PASS,PASS, ,PASS, , ,FAIL, ,PASS,PASS, , ,PASS, ,PASS,PASS,PASS,PASS, ,PASS, ,PASS, , , ,PASS,FAIL,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, , ,PASS,PASS, , , ,15,
1827,PASS, , ,PASS,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS, ,PASS,PASS, ,PASS, , , , ,PASS, , ,PASS,PASS, ,PASS, , ,PASS,PASS, ,PASS, , ,PASS, ,PASS,PASS, , ,PASS, ,PASS,PASS,PASS,PASS, ,PASS, ,PASS, , , ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, , ,PASS,PASS, , , ,10,
1828,FAIL, , ,PASS,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS, ,PASS,PASS, ,PASS, , , , ,FAIL, , ,PASS,PASS, ,PASS, , ,PASS,PASS, ,PASS, , ,PASS, ,PASS,PASS, , ,PASS, ,PASS,PASS,PASS,PASS, ,PASS, ,PASS, , , ,PASS,FAIL,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, , ,PASS,PASS, , , ,13,
1829,FAIL, , ,PASS,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS, ,PASS,PASS, ,PASS, , , , ,PASS, , ,PASS,PASS, ,PASS, , ,PASS,PASS, ,PASS, , ,FAIL, ,PASS,PASS, , ,PASS, ,PASS,PASS,PASS,PASS, ,PASS, ,PASS, , , ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, , ,PASS,PASS, , , ,12,
183, , , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,FAIL, , , , , , , , ,PASS, , ,PASS,PASS, , , , , , , , , , , , , ,PASS, , , , , , ,1,
1830,FAIL, , ,PASS,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS, ,PASS,PASS, ,PASS, , , , ,PASS, , ,PASS,PASS, ,PASS, , ,PASS,PASS, ,PASS, , ,FAIL, ,PASS,PASS, , ,PASS, ,PASS,PASS,PASS,PASS, ,PASS, ,PASS, , , ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, , ,PASS,PASS, , , ,12,
