Mutant,org.apache.commons.math3.distribution.HypergeometricDistributionTest[testDegenerateFullSample],org.apache.commons.math3.distribution.HypergeometricDistributionTest[testDensities],org.apache.commons.math3.distribution.HypergeometricDistributionTest[testIllegalArguments],org.apache.commons.math3.distribution.HypergeometricDistributionTest[testDegenerateNoFailures],org.apache.commons.math3.distribution.HypergeometricDistributionTest[testAccessors],org.apache.commons.math3.distribution.HypergeometricDistributionTest[testDegenerateNoSuccesses],org.apache.commons.math3.distribution.HypergeometricDistributionTest[testMoments],org.apache.commons.math3.distribution.HypergeometricDistributionTest[testInverseCumulativeProbabilities],org.apache.commons.math3.distribution.HypergeometricDistributionTest[testCumulativeProbabilities],org.apache.commons.math3.distribution.HypergeometricDistributionTest[testConsistencyAtSupportBounds],org.apache.commons.math3.distribution.HypergeometricDistributionTest[testMath644],org.apache.commons.math3.distribution.HypergeometricDistributionTest[testPreconditions],org.apache.commons.math3.distribution.HypergeometricDistributionTest[testMoreLargeValues],org.apache.commons.math3.distribution.HypergeometricDistributionTest[testMath1021],org.apache.commons.math3.distribution.HypergeometricDistributionTest[testSampling],org.apache.commons.math3.distribution.HypergeometricDistributionTest[testLargeValues],org.apache.commons.math3.distribution.HypergeometricDistribution_ESTest[test03],org.apache.commons.math3.distribution.HypergeometricDistribution_ESTest[test01],org.apache.commons.math3.distribution.HypergeometricDistribution_ESTest[test12],org.apache.commons.math3.distribution.HypergeometricDistribution_ESTest[test00],org.apache.commons.math3.distribution.HypergeometricDistribution_ESTest[test10],org.apache.commons.math3.distribution.HypergeometricDistribution_ESTest[test05],org.apache.commons.math3.distribution.HypergeometricDistribution_ESTest[test13],org.apache.commons.math3.distribution.HypergeometricDistribution_ESTest[test02],org.apache.commons.math3.distribution.HypergeometricDistribution_ESTest[test07],org.apache.commons.math3.distribution.HypergeometricDistribution_ESTest[test11],org.apache.commons.math3.distribution.HypergeometricDistribution_ESTest[test08],org.apache.commons.math3.distribution.HypergeometricDistribution_ESTest[test09],org.apache.commons.math3.distribution.HypergeometricDistribution_ESTest[test04],org.apache.commons.math3.distribution.HypergeometricDistribution_ESTest[test06],Total,Equiv?
231,PASS, , ,PASS, ,PASS,FAIL,PASS, , , , , ,PASS,PASS, , ,PASS, , , , , , , , , , , , ,1,
232,PASS, , ,PASS, ,PASS,FAIL,PASS, , , , , ,PASS,PASS, , ,PASS, , , , , , , , , , , , ,1,
233,PASS, , ,PASS, ,PASS,FAIL,PASS, , , , , ,PASS,PASS, , ,FAIL, , , , , , , , , , , , ,2,
234,PASS, , ,PASS, ,PASS,FAIL,PASS, , , , , ,PASS,PASS, , ,PASS, , , , , , , , , , , , ,1,
235,PASS, , ,PASS, ,PASS,FAIL,PASS, , , , , ,PASS,PASS, , ,PASS, , , , , , , , , , , , ,1,
236,PASS, , ,PASS, ,PASS,FAIL,PASS, , , , , ,PASS,PASS, , ,PASS, , , , , , , , , , , , ,1,
237,PASS, , ,PASS, ,PASS,FAIL,PASS, , , , , ,PASS,PASS, , ,PASS, , , , , , , , , , , , ,1,
238,PASS, , ,PASS, ,PASS,FAIL,PASS, , , , , ,PASS,PASS, , ,PASS, , , , , , , , , , , , ,1,
239,PASS, , ,PASS, ,PASS,FAIL,PASS, , , , , ,PASS,PASS, , ,PASS, , , , , , , , , , , , ,1,
24,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS,EXC,PASS,EXC,PASS,PASS,PASS,PASS,PASS,PASS,EXC, ,PASS,3,
240,PASS, , ,PASS, ,PASS,FAIL,PASS, , , , , ,PASS,PASS, , ,PASS, , , , , , , , , , , , ,1,
241,PASS, , ,PASS, ,PASS,FAIL,PASS, , , , , ,PASS,PASS, , ,PASS, , , , , , , , , , , , ,1,
242,PASS, , ,PASS, ,PASS,FAIL,PASS, , , , , ,PASS,PASS, , ,PASS, , , , , , , , , , , , ,1,
243,PASS, , ,PASS, ,PASS,FAIL,PASS, , , , , ,PASS,PASS, , ,FAIL, , , , , , , , , , , , ,2,
244,PASS, , ,PASS, ,PASS,FAIL,PASS, , , , , ,PASS,PASS, , ,FAIL, , , , , , , , , , , , ,2,
245,PASS, , ,PASS, ,FAIL, ,FAIL, ,FAIL, , , ,PASS,PASS, , ,PASS, , , , , , , , , , , , ,3,
246,PASS, , ,PASS, ,FAIL, ,PASS, ,PASS, , , ,PASS,PASS, , ,PASS, , , , , , , , , , , , ,1,
247,FAIL, , ,FAIL, ,EXC, ,PASS, ,PASS, , , ,PASS,PASS, , ,PASS, , , , , , , , , , , , ,3,
248,FAIL, , ,FAIL, ,PASS, ,FAIL, ,FAIL, , , ,PASS,FAIL, , ,PASS, , , , , , , , , , , , ,5,
249,FAIL, , ,FAIL, ,PASS, ,PASS, ,PASS, , , ,PASS,PASS, , ,PASS, , , , , , , , , , , , ,2,
25,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS, ,PASS,EXC,PASS,EXC,FAIL,PASS,PASS,PASS,PASS,PASS,EXC, ,PASS,5,
250,FAIL, , ,FAIL, ,EXC, ,PASS, ,PASS, , , ,PASS,PASS, , ,PASS, , , , , , , , , , , , ,3,
251,PASS, , ,PASS, ,FAIL, ,PASS, ,PASS, , , ,PASS,PASS, , ,PASS, , , , , , , , , , , , ,1,
252,FAIL, , ,FAIL, ,FAIL, ,FAIL, ,FAIL, , , ,PASS,FAIL, , ,PASS, , , , , , , , , , , , ,6,
253,FAIL, , ,FAIL, ,FAIL, ,FAIL, ,FAIL, , , ,PASS,FAIL, , ,PASS, , , , , , , , , , , , ,6,
254,FAIL, , ,FAIL, ,PASS, ,FAIL, ,FAIL, , , ,PASS,PASS, , ,PASS, , , , , , , , , , , , ,4,
255,FAIL, , ,FAIL, ,PASS, ,FAIL, ,FAIL, , , ,PASS,FAIL, , ,PASS, , , , , , , , , , , , ,5,
256, , , , , , , , , , , , , , , , , , , , , , , ,FAIL, , , , , , ,1,
26,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, ,EXC,PASS,EXC,PASS,FAIL,EXC,EXC,PASS,EXC,EXC,PASS, ,PASS,23,
27,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, ,EXC,EXC,EXC,EXC,FAIL,EXC,EXC,PASS,EXC,EXC,EXC, ,PASS,26,
28,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS, ,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS,2,
29,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, ,EXC,EXC,EXC,EXC,PASS,EXC,EXC,PASS,EXC,EXC,EXC, ,PASS,25,
3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0,
30,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, ,PASS,PASS,EXC,PASS, ,EXC,PASS,PASS,EXC,EXC,PASS, ,PASS,20,
31,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, ,PASS,PASS,EXC,PASS, ,EXC,PASS,PASS,EXC,EXC,PASS, ,PASS,20,
32,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, ,EXC,EXC,EXC,EXC, ,EXC,EXC,PASS,EXC,EXC,EXC, ,PASS,25,
33,PASS,PASS,PASS,EXC,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS, ,EXC,EXC,PASS,EXC, ,PASS,EXC,PASS,PASS,PASS,EXC, ,PASS,7,
34,PASS,PASS,PASS,EXC,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, ,EXC,EXC,PASS,EXC, ,PASS,EXC,PASS,PASS,PASS,EXC, ,PASS,6,
35,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS, ,PASS,PASS,PASS,PASS, ,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS,1,
36,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, ,EXC,EXC,EXC,EXC, ,EXC,EXC,PASS,EXC,EXC,EXC, ,PASS,25,
37, , , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , , ,PASS,0,
38,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, ,PASS,EXC,EXC,EXC, ,EXC,PASS,PASS,EXC,EXC,EXC, , ,23,
39,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, ,PASS,EXC,EXC,EXC, ,EXC,PASS,FAIL,EXC,EXC,EXC, , ,24,
4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,EXC,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,2,
40,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, ,EXC,EXC,EXC,EXC, ,EXC,EXC,FAIL,EXC,EXC,EXC, , ,26,
41,EXC,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS, ,EXC,PASS,PASS,PASS, ,PASS,EXC,FAIL,PASS,PASS,PASS, , ,5,
42,EXC,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, ,EXC,PASS,PASS,PASS, ,PASS,EXC,PASS,PASS,PASS,PASS, , ,3,
43,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS, ,PASS,PASS,PASS,PASS, ,PASS,PASS,FAIL,PASS,PASS,PASS, , ,2,
44,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, ,EXC,EXC,EXC,EXC, ,EXC,EXC,PASS,EXC,EXC,EXC, , ,25,
45, , , , , , , , , , , ,PASS, , , , , , , , , , , , ,PASS, , , , , ,0,
46,FAIL,FAIL,PASS,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,PASS,FAIL,PASS,FAIL,PASS,FAIL,FAIL, ,FAIL,FAIL,FAIL,FAIL, ,FAIL,FAIL, ,PASS,FAIL,FAIL, , ,19,
47,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,PASS,FAIL,FAIL, ,FAIL,FAIL,FAIL,FAIL, ,FAIL,FAIL, ,FAIL,FAIL,FAIL, , ,22,
48,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS,PASS,FAIL,PASS,FAIL,FAIL, ,FAIL,PASS,FAIL,PASS, ,FAIL,FAIL, ,PASS,FAIL,PASS, , ,16,
49,EXC, , ,EXC, ,EXC, ,EXC,EXC,EXC,EXC, ,EXC,EXC,EXC,EXC, , , , , , , , , , ,EXC,EXC, , ,13,
5,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,FAIL,EXC,EXC,EXC,EXC,PASS,EXC,EXC,PASS,EXC,EXC,EXC,PASS,PASS,26,
50,PASS, , ,PASS, ,PASS, ,FAIL,FAIL,FAIL,FAIL, ,FAIL,PASS,FAIL,FAIL, , , , , , , , , , ,PASS,PASS, , ,7,
51,EXC, , ,EXC, ,EXC, ,EXC,EXC,EXC,EXC, ,EXC,EXC,EXC,EXC, , , , , , , , , , ,EXC,EXC, , ,13,
52,FAIL, , ,FAIL, ,FAIL, ,FAIL,FAIL,FAIL,PASS, ,FAIL,PASS,FAIL,FAIL, , , , , , , , , , ,PASS,PASS, , ,9,
53,FAIL, , ,FAIL, ,FAIL, ,FAIL,FAIL,FAIL,FAIL, ,FAIL,PASS,PASS,FAIL, , , , , , , , , , ,PASS,FAIL, , ,10,
54,TIME, , ,TIME, ,TIME, ,FAIL,TIME,TIME,FAIL, ,FAIL,PASS,PASS,FAIL, , , , , , , , , , ,PASS,FAIL, , ,10,
55,TIME, , ,TIME, ,TIME, ,FAIL,TIME,TIME,PASS, ,FAIL,PASS,FAIL,FAIL, , , , , , , , , , ,PASS,PASS, , ,9,
56,TIME, , ,TIME, ,TIME, ,FAIL,TIME,TIME,FAIL, ,FAIL,PASS,FAIL,FAIL, , , , , , , , , , ,PASS,FAIL, , ,11,
57,TIME, , ,TIME, ,TIME, ,PASS,TIME,TIME,PASS, ,PASS,PASS,PASS,PASS, , , , , , , , , , ,PASS,PASS, , ,5,
58,FAIL, , ,FAIL, ,FAIL, ,FAIL,FAIL,FAIL,FAIL, ,FAIL,PASS,FAIL,FAIL, , , , , , , , , , ,PASS,FAIL, , ,11,
59,FAIL, , ,FAIL, ,FAIL, , ,FAIL,FAIL, , , , , , , , , , , , , , , , ,PASS, , , ,5,
6,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,EXC,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,2,
60,FAIL, , ,FAIL, ,FAIL, , ,FAIL,FAIL, , , , , , , , , , , , , , , , ,PASS, , , ,5,
61,PASS, , ,PASS, ,PASS, ,FAIL,FAIL,FAIL,FAIL, ,FAIL,PASS,FAIL,FAIL, , , , , , , , , , ,PASS,PASS, , ,7,
62,EXC, , ,EXC, ,EXC, ,EXC,EXC,EXC,EXC, ,EXC,EXC,EXC,EXC, , , , , , , , , , ,EXC,EXC, , ,13,
63,PASS, , ,PASS, ,PASS, ,FAIL,FAIL,FAIL,FAIL, ,FAIL,PASS,FAIL,FAIL, , , , , , , , , , ,PASS,FAIL, , ,8,
64,PASS, , ,PASS, ,PASS, ,FAIL,FAIL,FAIL,FAIL, ,FAIL,PASS,FAIL,FAIL, , , , , , , , , , ,PASS,FAIL, , ,8,
65,PASS, , ,PASS, ,PASS, ,FAIL,FAIL,FAIL,FAIL, ,FAIL,PASS,FAIL,FAIL, , , , , , , , , , ,PASS,PASS, , ,7,
66,PASS, , ,PASS, ,PASS, ,PASS,PASS,PASS,PASS, ,PASS,PASS,PASS,PASS, , , , , , , , , , ,PASS,PASS, , ,0,
67,PASS, , ,PASS, ,PASS, ,PASS,PASS,FAIL,PASS, ,PASS,PASS,PASS,PASS, , , , , , , , , , ,PASS,FAIL, , ,2,
68,PASS, , ,PASS, ,PASS, ,PASS,PASS,FAIL,PASS, ,PASS,PASS,PASS,PASS, , , , , , , , , , ,PASS,FAIL, , ,2,
69,PASS, , ,PASS, ,PASS, ,FAIL,FAIL,FAIL,FAIL, ,FAIL,PASS,FAIL,FAIL, , , , , , , , , , ,PASS,PASS, , ,7,
7,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0,
70,FAIL, , ,FAIL, ,FAIL, , ,FAIL,FAIL, , ,FAIL, , ,FAIL, , , , , , , , , , , ,FAIL, , ,8,
71,FAIL, , ,FAIL, ,FAIL, , ,FAIL,FAIL, , ,FAIL, , ,FAIL, , , , , , , , , , , ,FAIL, , ,8,
72, , , , , , , ,TIME,TIME,TIME,TIME, ,TIME,TIME,TIME,TIME, , , , , , , , , , ,PASS, , , ,8,
73, , , , , , , ,EXC,EXC,EXC,EXC, ,EXC,EXC,EXC,EXC, , , , , , , , , , ,EXC, , , ,9,
74, , , , , , , ,TIME,TIME,PASS,PASS, ,TIME,TIME,TIME,TIME, , , , , , , , , , ,PASS, , , ,6,
75, , , , , , , ,TIME,TIME,PASS,PASS, ,TIME,TIME,TIME,TIME, , , , , , , , , , ,PASS, , , ,6,
76,FAIL, , ,FAIL, ,FAIL, ,FAIL,FAIL,FAIL,FAIL, ,FAIL,PASS,FAIL,FAIL, , , , , , , , , , ,PASS,FAIL, , ,11,
77,EXC,EXC, ,EXC, ,EXC, ,EXC,EXC,EXC,EXC, ,EXC,EXC,EXC,EXC, , ,EXC,EXC,EXC, ,EXC, , ,EXC,EXC,EXC, , ,19,
78,PASS,FAIL, ,PASS, ,FAIL, ,FAIL,FAIL,PASS,FAIL, ,FAIL,PASS,PASS,FAIL, , ,PASS,PASS,PASS, ,PASS, , ,PASS,PASS,FAIL, , ,8,
79,PASS,PASS, ,PASS, ,EXC, ,PASS,PASS,PASS,FAIL, ,EXC,EXC,PASS,EXC, , ,PASS,PASS,PASS, ,PASS, , ,PASS,PASS,PASS, , ,5,
8,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,FAIL,EXC,EXC,EXC,EXC,PASS,EXC,EXC,PASS,EXC,EXC,EXC,PASS,PASS,26,
80,PASS,FAIL, ,PASS, ,PASS, ,FAIL,FAIL,PASS,FAIL, ,FAIL,PASS,FAIL,PASS, , ,EXC,PASS,EXC, ,PASS, , ,PASS,PASS,EXC, , ,9,
81,EXC,PASS, ,EXC, ,PASS, ,PASS,PASS,PASS,PASS, ,PASS,PASS,PASS,PASS, , ,PASS,PASS,PASS, ,PASS, , ,PASS,EXC,FAIL, , ,4,
82,EXC,PASS, ,EXC, ,PASS, ,PASS,PASS,PASS,PASS, ,PASS,PASS,PASS,PASS, , ,PASS,PASS,PASS, ,PASS, , ,PASS,EXC,PASS, , ,3,
83,PASS,FAIL, ,FAIL, ,PASS, ,FAIL,FAIL,PASS,PASS, ,FAIL,PASS,FAIL,FAIL, , ,EXC,PASS,EXC, ,PASS, , ,FAIL,PASS,EXC, , ,11,
84,EXC,PASS, ,EXC, ,PASS, ,PASS,PASS,PASS,FAIL, ,FAIL,PASS,PASS,FAIL, , ,PASS,PASS,PASS, ,PASS, , ,PASS,PASS,PASS, , ,5,
85,EXC,FAIL, ,FAIL, ,PASS, ,FAIL,FAIL,FAIL,PASS, ,FAIL,PASS,FAIL,FAIL, , ,PASS,PASS,PASS, ,FAIL, , ,FAIL,PASS,FAIL, , ,12,
86,PASS,FAIL, ,FAIL, ,FAIL, ,FAIL,FAIL,FAIL,FAIL, ,FAIL,PASS,FAIL,FAIL, , ,PASS,PASS,PASS, ,FAIL, , ,FAIL,PASS,FAIL, , ,13,
87,EXC,FAIL, ,PASS, ,PASS, ,FAIL,FAIL,PASS,PASS, ,PASS,PASS,PASS,PASS, , ,PASS,PASS,PASS, ,PASS, , ,PASS,EXC,FAIL, , ,6,
88,FAIL, , ,FAIL,FAIL,PASS,FAIL,FAIL, ,FAIL, , , ,PASS,FAIL, , ,FAIL,FAIL,FAIL,FAIL, ,FAIL,FAIL, , ,FAIL,FAIL, , ,15,
89,FAIL, , ,FAIL,FAIL,FAIL,FAIL,FAIL, ,FAIL, , , ,PASS,FAIL, , ,FAIL,FAIL,FAIL,FAIL, ,FAIL,FAIL, , ,FAIL,FAIL, , ,16,
9,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS,EXC,EXC,EXC,EXC,PASS,EXC,EXC,PASS,EXC,EXC,EXC,PASS,PASS,25,
90,FAIL, , ,FAIL,FAIL,PASS,FAIL,FAIL, ,FAIL, , , ,PASS,FAIL, , ,FAIL,PASS,FAIL,PASS, ,FAIL,FAIL, , ,FAIL,PASS, , ,12,
91,FAIL,FAIL, ,FAIL, ,PASS, ,FAIL,FAIL,FAIL,FAIL, ,FAIL,PASS,FAIL,FAIL, , ,PASS,PASS,PASS, ,PASS, , ,PASS,PASS,PASS, , ,10,
92,EXC,EXC, ,EXC, ,EXC, ,EXC,EXC,EXC,EXC, ,EXC,EXC,EXC,EXC, , , ,EXC,EXC, , , , ,EXC,EXC, , , ,16,
93,PASS,FAIL, ,PASS, ,PASS, ,FAIL,FAIL,PASS,FAIL, ,FAIL,PASS,FAIL,FAIL, , , ,PASS,PASS, , , , ,PASS,PASS, , , ,7,
94,EXC,EXC, ,EXC, ,EXC, ,EXC,EXC,EXC,EXC, ,EXC,EXC,EXC,EXC, , , ,EXC,EXC, , , , ,EXC,EXC, , , ,16,
95,PASS,FAIL, ,PASS, ,PASS, ,FAIL,FAIL,PASS,PASS, ,FAIL,PASS,FAIL,FAIL, , , ,PASS,PASS, , , , ,PASS,PASS, , , ,6,
96,FAIL,FAIL, ,FAIL, ,FAIL, ,FAIL,FAIL,PASS,FAIL, ,FAIL,PASS,PASS,FAIL, , , ,PASS,PASS, , , , ,PASS,PASS, , , ,9,
97,EXC,EXC, ,EXC, ,EXC, ,FAIL,FAIL,PASS,FAIL, ,FAIL,PASS,PASS,FAIL, , , ,EXC,PASS, , , , ,PASS,PASS, , , ,10,
98,EXC,EXC, ,EXC, ,EXC, ,FAIL,FAIL,PASS,PASS, ,FAIL,PASS,FAIL,FAIL, , , ,EXC,PASS, , , , ,PASS,PASS, , , ,10,
99,EXC,EXC, ,EXC, ,EXC, ,FAIL,FAIL,PASS,FAIL, ,FAIL,PASS,FAIL,FAIL, , , ,EXC,PASS, , , , ,PASS,PASS, , , ,11,
