Mutant,org.apache.commons.math3.optimization.linear.SimplexSolverTest[testMath290LEQ],org.apache.commons.math3.optimization.linear.SimplexSolverTest[testTrivialModel],org.apache.commons.math3.optimization.linear.SimplexSolverTest[testInfeasibleSolution],org.apache.commons.math3.optimization.linear.SimplexSolverTest[testSingleVariableAndConstraint],org.apache.commons.math3.optimization.linear.SimplexSolverTest[testMath290GEQ],org.apache.commons.math3.optimization.linear.SimplexSolverTest[testMath713NegativeVariable],org.apache.commons.math3.optimization.linear.SimplexSolverTest[testModelWithNoArtificialVars],org.apache.commons.math3.optimization.linear.SimplexSolverTest[testMinimization],org.apache.commons.math3.optimization.linear.SimplexSolverTest[testMath434PivotRowSelection],org.apache.commons.math3.optimization.linear.SimplexSolverTest[testSolutionWithNegativeDecisionVariable],org.apache.commons.math3.optimization.linear.SimplexSolverTest[testMath434UnfeasibleSolution],org.apache.commons.math3.optimization.linear.SimplexSolverTest[testMath434NegativeVariable],org.apache.commons.math3.optimization.linear.SimplexTableauTest[testTableauWithNoArtificialVars],org.apache.commons.math3.optimization.linear.SimplexSolverTest[testEpsilon],org.apache.commons.math3.optimization.linear.SimplexSolverTest[testSimplexSolver],org.apache.commons.math3.optimization.linear.SimplexSolverTest[testDegeneracy],org.apache.commons.math3.optimization.linear.SimplexSolverTest[testMath272],org.apache.commons.math3.optimization.linear.SimplexSolverTest[testMath288],org.apache.commons.math3.optimization.linear.SimplexSolverTest[testMath781],org.apache.commons.math3.optimization.linear.SimplexSolverTest[testMath286],org.apache.commons.math3.optimization.linear.SimplexTableauTest[testDropPhase1Objective],org.apache.commons.math3.optimization.linear.SimplexSolverTest[testUnboundedSolution],org.apache.commons.math3.optimization.linear.SimplexSolverTest[testMath293],org.apache.commons.math3.optimization.linear.SimplexTableauTest[testSerial],org.apache.commons.math3.optimization.linear.SimplexSolverTest[testMath434PivotRowSelection2],org.apache.commons.math3.optimization.linear.SimplexTableauTest[testInitialization],org.apache.commons.math3.optimization.linear.SimplexSolverTest[testRestrictVariablesToNonNegative],org.apache.commons.math3.optimization.linear.SimplexSolverTest[testLargeModel],org.apache.commons.math3.optimization.linear.SimplexTableau_ESTest[test01],org.apache.commons.math3.optimization.linear.SimplexTableau_ESTest[test08],org.apache.commons.math3.optimization.linear.SimplexTableau_ESTest[test11],org.apache.commons.math3.optimization.linear.SimplexTableau_ESTest[test12],org.apache.commons.math3.optimization.linear.SimplexTableau_ESTest[test14],org.apache.commons.math3.optimization.linear.SimplexTableau_ESTest[test19],org.apache.commons.math3.optimization.linear.SimplexTableau_ESTest[test05],org.apache.commons.math3.optimization.linear.SimplexTableau_ESTest[test04],org.apache.commons.math3.optimization.linear.SimplexTableau_ESTest[test23],org.apache.commons.math3.optimization.linear.SimplexTableau_ESTest[test06],org.apache.commons.math3.optimization.linear.SimplexTableau_ESTest[test13],org.apache.commons.math3.optimization.linear.SimplexTableau_ESTest[test17],org.apache.commons.math3.optimization.linear.SimplexTableau_ESTest[test00],org.apache.commons.math3.optimization.linear.SimplexTableau_ESTest[test22],org.apache.commons.math3.optimization.linear.SimplexTableau_ESTest[test16],org.apache.commons.math3.optimization.linear.SimplexTableau_ESTest[test18],org.apache.commons.math3.optimization.linear.SimplexTableau_ESTest[test20],org.apache.commons.math3.optimization.linear.SimplexTableau_ESTest[test10],org.apache.commons.math3.optimization.linear.SimplexTableau_ESTest[test25],org.apache.commons.math3.optimization.linear.SimplexTableau_ESTest[test21],org.apache.commons.math3.optimization.linear.SimplexTableau_ESTest[test07],org.apache.commons.math3.optimization.linear.SimplexTableau_ESTest[test15],org.apache.commons.math3.optimization.linear.SimplexTableau_ESTest[test24],org.apache.commons.math3.optimization.linear.SimplexTableau_ESTest[test03],org.apache.commons.math3.optimization.linear.SimplexTableau_ESTest[test09],org.apache.commons.math3.optimization.linear.SimplexTableau_ESTest[test02],Total,Equiv?
144, ,PASS,PASS,EXC, , ,EXC, , ,EXC, , ,FAIL,EXC,FAIL,PASS, ,FAIL,EXC,FAIL,FAIL,PASS,FAIL,PASS, ,FAIL,FAIL, ,PASS,PASS,FAIL, , ,PASS,PASS, , ,PASS,PASS, , , ,PASS, ,PASS,PASS,PASS,PASS, ,PASS,PASS,PASS,PASS, ,14,
145,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,EXC,EXC,PASS,EXC,FAIL,PASS,PASS,PASS,PASS,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,EXC,FAIL,FAIL,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,15,
146,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,54,
147,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,54,
148,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1,
149,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,54,
15,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,EXC,EXC,PASS,FAIL,FAIL,EXC,EXC,PASS,PASS,PASS,EXC,PASS,FAIL,EXC,PASS,PASS,FAIL,FAIL,PASS,PASS,PASS,PASS,PASS,EXC,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,EXC,EXC,EXC,EXC,PASS,PASS,PASS,EXC,EXC,PASS,PASS,EXC,21,
150,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,54,
151,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,54,
152,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0,
153,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0,
154,PASS, , , ,PASS,PASS, ,PASS,PASS, ,PASS,PASS, , , , ,PASS, , , , , , , ,PASS, , ,PASS, , , ,PASS,PASS, , ,PASS,PASS, , ,PASS,PASS,PASS, ,PASS, , ,PASS, ,PASS, , , , ,PASS,0,
155,PASS, , , ,PASS,PASS, ,PASS,PASS, ,PASS,PASS, , , , ,PASS, , , , , , , ,PASS, , ,PASS, , , ,PASS,PASS, , ,PASS,PASS, , ,PASS,PASS,PASS, ,PASS, , ,PASS, ,PASS, , , , ,PASS,0,
156,PASS, , , ,PASS,PASS, ,PASS,PASS, ,PASS,PASS, , , , ,PASS, , , , , , , ,PASS, , ,PASS, , , ,PASS,PASS, , ,PASS,PASS, , ,PASS,PASS,PASS, ,PASS, , ,PASS, ,PASS, , , , ,PASS,0,
157,PASS, , , ,PASS,PASS, ,PASS,PASS, ,PASS,PASS, , , , ,PASS, , , , , , , ,PASS, , ,PASS, , , ,PASS,PASS, , ,PASS,PASS, , ,PASS,PASS,PASS, ,PASS, , ,PASS, ,PASS, , , , ,PASS,0,
158,PASS, , , ,PASS,PASS, ,PASS,PASS, ,PASS,PASS, , , , ,PASS, , , , , , , ,PASS, , ,PASS, , , ,PASS,PASS, , ,PASS,PASS, , ,PASS,PASS,PASS, ,PASS, , ,PASS, ,PASS, , , , ,PASS,0,
159,PASS, , , ,PASS,PASS, ,PASS,PASS, ,PASS,PASS, , , , ,PASS, , , , , , , ,PASS, , ,PASS, , , ,PASS,PASS, , ,PASS,PASS, , ,PASS,PASS,PASS, ,PASS, , ,PASS, ,PASS, , , , ,PASS,0,
16,EXC,EXC,PASS,FAIL,EXC,EXC,FAIL,FAIL,EXC,FAIL,EXC,FAIL,FAIL,PASS,EXC,EXC,EXC,EXC,FAIL,EXC,FAIL,FAIL,EXC,PASS,PASS,FAIL,EXC,EXC,PASS,PASS,EXC,PASS,EXC,PASS,EXC,PASS,PASS,EXC,EXC,EXC,EXC,EXC,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,EXC,EXC,PASS,34,
160,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0,
161,PASS,PASS,PASS,PASS,EXC,EXC,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,EXC,FAIL,PASS,FAIL,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,EXC,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,7,
162,PASS,PASS,PASS,EXC,PASS,PASS,EXC,EXC,PASS,PASS,PASS,FAIL,FAIL,EXC,EXC,PASS,PASS,PASS,EXC,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,9,
163, , ,PASS,EXC, , ,EXC,EXC,EXC,PASS, ,FAIL,FAIL,EXC,EXC, , , ,EXC, ,FAIL,PASS, ,PASS,PASS,FAIL, , ,PASS,PASS, ,PASS, ,PASS, ,PASS,PASS, , ,PASS, , ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, , ,PASS,11,
164, , ,PASS,EXC, , ,EXC,EXC,EXC,PASS, ,FAIL,FAIL,EXC,EXC, , , ,EXC, ,FAIL,PASS, ,PASS,EXC,FAIL, , ,EXC,EXC, ,EXC, ,EXC, ,EXC,EXC, , ,EXC, , ,EXC,EXC,EXC,EXC,EXC,EXC,PASS,EXC,EXC, , ,EXC,28,
165, , ,PASS,EXC, , ,EXC,EXC,PASS,PASS, ,FAIL,FAIL,EXC,EXC, , , ,EXC, ,PASS,PASS, ,PASS,PASS,FAIL, , ,PASS,PASS, ,PASS, ,PASS, ,PASS,PASS, , ,PASS, , ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, , ,PASS,9,
166, , ,PASS,EXC, , ,EXC,EXC,EXC,PASS, ,FAIL,FAIL,EXC,EXC, , , ,EXC, ,FAIL,PASS, ,PASS,PASS,FAIL, , ,PASS,PASS, ,PASS, ,PASS, ,PASS,PASS, , ,PASS, , ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, , ,PASS,11,
167, , ,PASS,EXC, , ,EXC,EXC,EXC,PASS, ,FAIL,FAIL,EXC,EXC, , , ,EXC, ,FAIL,PASS, ,PASS,EXC,FAIL, , ,EXC,EXC, ,EXC, ,EXC, ,EXC,EXC, , ,EXC, , ,EXC,EXC,EXC,EXC,EXC,EXC,PASS,EXC,EXC, , ,EXC,28,
168, , ,PASS,EXC, , ,EXC,EXC,EXC,PASS, ,FAIL,FAIL,EXC,EXC, , , ,EXC, ,FAIL,PASS, ,PASS,PASS,FAIL, , ,PASS,PASS, ,PASS, ,PASS, ,PASS,PASS, , ,PASS, , ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, , ,PASS,11,
169, , ,PASS,EXC, , ,EXC,EXC,PASS,PASS, ,FAIL,FAIL,EXC,EXC, , , ,EXC, ,PASS,PASS, ,PASS,PASS,FAIL, , ,PASS,PASS, ,PASS, ,PASS, ,PASS,PASS, , ,PASS, , ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, , ,PASS,9,
17,PASS,EXC,FAIL,EXC,EXC,EXC,EXC,EXC,EXC,FAIL,EXC,EXC,EXC,EXC,EXC,PASS,PASS,EXC,PASS,PASS,EXC,EXC,FAIL,EXC,EXC,EXC,EXC,PASS,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,47,
170,PASS,PASS,PASS,FAIL,PASS,PASS,FAIL,PASS,EXC,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,FAIL,PASS,PASS,FAIL,EXC,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,8,
171,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,EXC,PASS,PASS,FAIL,PASS,PASS,PASS,FAIL,PASS,FAIL,FAIL,FAIL,PASS,EXC,PASS,PASS,FAIL,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,10,
172,FAIL,EXC,PASS,PASS,PASS,EXC,PASS,EXC,EXC,EXC,FAIL,EXC,PASS,EXC,EXC,EXC,EXC,PASS,EXC,EXC,FAIL,EXC,EXC,PASS,EXC,FAIL,EXC,EXC,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,21,
173,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,EXC,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,FAIL,PASS,PASS,FAIL,EXC,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5,
174,FAIL,EXC,EXC,EXC,PASS,PASS,EXC,PASS,FAIL,EXC,FAIL,FAIL,FAIL,EXC,EXC,EXC,PASS,PASS,EXC,EXC,FAIL,PASS,EXC,PASS,FAIL,FAIL,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,20,
175,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,54,
176,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0,
177,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,54,
178,FAIL,EXC,EXC,EXC,PASS,PASS,EXC,EXC,EXC,EXC,FAIL,EXC,FAIL,EXC,EXC,EXC,FAIL,EXC,EXC,EXC,FAIL,PASS,EXC,PASS,EXC,FAIL,EXC,FAIL,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS,EXC,EXC,PASS,PASS,EXC,46,
179,FAIL,EXC,EXC,EXC,PASS,PASS,EXC,EXC,EXC,EXC,FAIL,EXC,FAIL,EXC,EXC,EXC,FAIL,EXC,EXC,EXC,FAIL,PASS,EXC,PASS,EXC,FAIL,EXC,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,24,
18,PASS,PASS,PASS,FAIL,PASS,PASS,EXC,PASS,EXC,PASS,PASS,PASS,EXC,FAIL,EXC,PASS,PASS,EXC,PASS,PASS,FAIL,PASS,FAIL,PASS,PASS,FAIL,EXC,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,11,
180,FAIL,EXC,EXC,EXC,PASS,PASS,EXC,EXC,EXC,EXC,FAIL,EXC,FAIL,EXC,EXC,EXC,FAIL,EXC,EXC,EXC,FAIL,PASS,EXC,PASS,EXC,FAIL,EXC,FAIL,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS,EXC,EXC,PASS,PASS,EXC,46,
181,FAIL,EXC,EXC,EXC,PASS,PASS,EXC,EXC,EXC,EXC,FAIL,EXC,FAIL,EXC,EXC,EXC,FAIL,EXC,EXC,EXC,FAIL,PASS,EXC,PASS,EXC,FAIL,EXC,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,24,
182,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,54,
183,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, , , , , ,EXC, , , ,EXC, , , , , , , , , , ,EXC,EXC,EXC,EXC,EXC, ,35,
184,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, , , , , ,EXC, , , ,EXC, , , , , , , , , , ,EXC,EXC,EXC,EXC,EXC, ,35,
185,FAIL,EXC,PASS,EXC,EXC,PASS,EXC,EXC,FAIL,EXC,FAIL,FAIL,FAIL,EXC,EXC,PASS,PASS,EXC,EXC,EXC,FAIL,PASS,EXC,PASS,EXC,FAIL,EXC,EXC, , , , , ,PASS, , , ,PASS, , , , , , , , , , ,PASS,PASS,PASS,PASS,PASS, ,22,
186,PASS,PASS,PASS,PASS,PASS,PASS,EXC,EXC,EXC,EXC,PASS,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,FAIL,PASS,EXC,PASS,EXC,FAIL,EXC,EXC, , , , , ,PASS, , , ,PASS, , , , , , , , , , ,PASS,PASS,PASS,PASS,PASS, ,19,
187,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, , , , , ,EXC, , , ,EXC, , , , , , , , , , ,EXC,EXC,EXC,EXC,EXC, ,35,
188,PASS,EXC,PASS,EXC,PASS,EXC,EXC,EXC,EXC,EXC,PASS,EXC,FAIL,EXC,EXC,EXC,EXC,EXC,EXC,EXC,FAIL,EXC,EXC,PASS,EXC,FAIL,EXC,EXC, , , , , ,PASS, , , ,PASS, , , , , , , , , , ,PASS,PASS,PASS,PASS,PASS, ,23,
189,FAIL,EXC,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,EXC,FAIL,FAIL,PASS,EXC,PASS,PASS,EXC,PASS,PASS,PASS,EXC,EXC, , , , , ,PASS, , , ,PASS, , , , , , , , , , ,PASS,PASS,PASS,PASS,PASS, ,10,
19,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,FAIL,EXC,FAIL,PASS,PASS,PASS,PASS,PASS,EXC,EXC,PASS,EXC,EXC,PASS,PASS,EXC,PASS,EXC,PASS,FAIL,EXC,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,12,
190,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,EXC,EXC,PASS,EXC,FAIL,PASS,PASS,PASS,PASS,PASS,EXC,PASS,FAIL,PASS,PASS,PASS,EXC,FAIL,PASS,PASS, , , , , ,PASS, , , ,PASS, , , , , , , , , , ,PASS,PASS,PASS,PASS,PASS, ,9,
191, , ,PASS,PASS, , ,FAIL,FAIL,EXC,EXC, ,EXC,FAIL,PASS,FAIL, , , ,FAIL, ,FAIL,PASS, ,PASS,EXC,FAIL, , , , , , , ,PASS, , , , , , , , , , , , , , ,PASS,PASS,PASS, , , ,11,
192, , ,PASS,PASS, , ,FAIL,FAIL,EXC,EXC, ,EXC,FAIL,PASS,FAIL, , , ,EXC, ,FAIL,PASS, ,PASS,EXC,FAIL, , , , , , , ,PASS, , , , , , , , , , , , , , ,PASS,PASS,PASS, , , ,11,
193, , ,PASS,PASS, , ,PASS,FAIL,EXC,EXC, ,EXC,FAIL,PASS,PASS, , , ,EXC, ,FAIL,PASS, ,PASS,EXC,FAIL, , , , , , , ,PASS, , , , , , , , , , , , , , ,PASS,PASS,PASS, , , ,9,
194, , ,PASS,PASS, , ,FAIL,FAIL,EXC,EXC, ,EXC,FAIL,PASS,FAIL, , , ,FAIL, ,FAIL,PASS, ,PASS,EXC,FAIL, , , , , , , ,PASS, , , , , , , , , , , , , , ,PASS,PASS,PASS, , , ,11,
195, , ,PASS,PASS, , ,FAIL,FAIL,EXC,EXC, ,EXC,FAIL,PASS,FAIL, , , ,EXC, ,FAIL,PASS, ,PASS,EXC,FAIL, , , , , , , ,PASS, , , , , , , , , , , , , , ,PASS,PASS,PASS, , , ,11,
196, , ,PASS,PASS, , ,FAIL,FAIL,EXC,EXC, ,EXC,FAIL,PASS,FAIL, , , ,FAIL, ,FAIL,PASS, ,PASS,EXC,FAIL, , , , , , , ,PASS, , , , , , , , , , , , , , ,PASS,PASS,PASS, , , ,11,
197, , ,PASS,PASS, , ,PASS,FAIL,EXC,EXC, ,EXC,FAIL,PASS,PASS, , , ,EXC, ,FAIL,PASS, ,PASS,EXC,FAIL, , , , , , , ,PASS, , , , , , , , , , , , , , ,PASS,PASS,PASS, , , ,9,
198,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, , , , , ,EXC, , , ,EXC, , , , , , , , , , ,EXC,EXC,EXC,EXC,EXC, ,35,
199,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, , , , , ,EXC, , , ,EXC, , , , , , , , , , ,EXC,EXC,EXC,EXC,EXC, ,35,
2,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,54,
20,PASS,EXC,PASS,EXC,EXC,EXC,EXC,PASS,EXC,PASS,EXC,EXC,EXC,EXC,EXC,FAIL,PASS,EXC,FAIL,PASS,EXC,EXC,FAIL,EXC,EXC,EXC,EXC,PASS,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,46,
