Mutant,org.apache.commons.math3.optimization.fitting.HarmonicFitterTest[testMath844],org.apache.commons.math3.optimization.fitting.HarmonicFitterTest[testInitialGuess],org.apache.commons.math3.optimization.fitting.HarmonicFitterTest[testNoError],org.apache.commons.math3.optimization.fitting.HarmonicFitterTest[testUnsorted],org.apache.commons.math3.optimization.fitting.HarmonicFitterTest[testPreconditions1],org.apache.commons.math3.optimization.fitting.HarmonicFitterTest[test1PercentError],org.apache.commons.math3.optimization.fitting.HarmonicFitterTest[testTinyVariationsData],org.apache.commons.math3.optimization.fitting.HarmonicFitter_ESTest[test1],org.apache.commons.math3.optimization.fitting.HarmonicFitter_ESTest[test0],org.apache.commons.math3.optimization.fitting.HarmonicFitter_ESTest[test4],org.apache.commons.math3.optimization.fitting.HarmonicFitter_ESTest[test5],org.apache.commons.math3.optimization.fitting.HarmonicFitter_ESTest[test2],org.apache.commons.math3.optimization.fitting.HarmonicFitter_ESTest[test3],Total,Equiv?
362, , ,FAIL,FAIL, ,FAIL, , , , , ,FAIL, ,4,
363, , ,PASS,PASS, ,PASS,PASS, , ,FAIL, ,PASS,PASS,1,
364, , ,PASS,PASS, ,PASS,PASS, , ,FAIL, ,PASS,PASS,1,
365, , ,PASS,PASS, ,PASS,PASS, , ,PASS, ,PASS,PASS,0,
366, , ,PASS,PASS, ,PASS,PASS, , ,PASS, ,PASS,PASS,0,
367, , ,PASS,PASS, ,PASS,PASS, , ,FAIL, ,PASS,FAIL,2,
368, , ,EXC,EXC, ,EXC,EXC, , ,EXC, ,EXC,EXC,7,
369, , ,PASS,PASS, ,PASS,PASS, , ,PASS, ,PASS,PASS,0,
37,PASS, ,PASS,FAIL, ,PASS,PASS, , ,PASS,PASS,PASS,PASS,1,
370, , ,EXC,EXC, ,EXC,EXC, , ,EXC, ,EXC,EXC,7,
371, , ,EXC,EXC, ,EXC,EXC, , ,FAIL, ,PASS,FAIL,6,
372, , ,EXC,EXC, ,EXC,EXC, , ,EXC, ,EXC,EXC,7,
373, , ,PASS,PASS, ,PASS,PASS, , ,PASS, ,PASS,PASS,0,
374, , ,EXC,EXC, ,EXC,EXC, , ,EXC, ,EXC,EXC,7,
375, , ,FAIL,FAIL, ,FAIL,PASS, , ,FAIL, ,FAIL,FAIL,6,
376, , ,FAIL,FAIL, ,FAIL,PASS, , ,FAIL, ,FAIL,FAIL,6,
377, , ,FAIL,FAIL, ,FAIL,PASS, , ,FAIL, ,FAIL,FAIL,6,
378, , ,FAIL,FAIL, ,FAIL,PASS, , ,FAIL, ,FAIL,FAIL,6,
379, , ,EXC,EXC, ,EXC,EXC, , ,EXC, ,EXC,EXC,7,
38,PASS, ,PASS,FAIL, ,PASS,PASS, , ,PASS,PASS,PASS,PASS,1,
380, , ,PASS,PASS, ,PASS,PASS, , ,FAIL, ,PASS,PASS,1,
381, , ,PASS,PASS, ,PASS,PASS, , ,PASS, ,PASS,FAIL,1,
382, , ,EXC,EXC, ,EXC,EXC, , ,FAIL, ,PASS,FAIL,6,
383, , ,FAIL,FAIL, ,FAIL,PASS, , ,FAIL, ,PASS,PASS,4,
384, , ,FAIL,PASS, ,PASS,PASS, , ,FAIL, ,PASS,PASS,2,
385, , ,PASS,PASS, ,PASS,PASS, , ,FAIL, ,PASS,FAIL,2,
386, , ,PASS,PASS, ,PASS,PASS, , ,PASS, ,PASS,FAIL,1,
387, , ,FAIL,FAIL, ,FAIL,PASS, , ,FAIL, ,PASS,FAIL,5,
388, , ,EXC,EXC, ,EXC,EXC, , ,FAIL, ,PASS,PASS,5,
389, , ,PASS,PASS, ,PASS,PASS, , ,FAIL, ,PASS,PASS,1,
39,PASS, ,PASS,PASS, ,PASS,PASS, , ,PASS,PASS,PASS,PASS,0,
390, , ,PASS,PASS, ,PASS,PASS, , ,PASS, ,PASS,PASS,0,
391, , ,PASS,PASS, ,PASS,PASS, , ,PASS, ,PASS,PASS,0,
392, , ,PASS,PASS, ,PASS,PASS, , ,FAIL, ,PASS,PASS,1,
393, , ,PASS,PASS, ,PASS,PASS, , ,FAIL, ,PASS,PASS,1,
394, , ,PASS,PASS, ,PASS,PASS, , ,FAIL, ,PASS,PASS,1,
395, , ,PASS,PASS, ,PASS,PASS, , ,FAIL, ,PASS,PASS,1,
396, , ,PASS,PASS, ,PASS,PASS, , ,FAIL, ,PASS,FAIL,2,
397, , ,PASS,PASS, ,PASS,PASS, , ,FAIL, ,PASS,FAIL,2,
398, , ,PASS,PASS, ,PASS,PASS, , ,FAIL, ,PASS,FAIL,2,
399, , ,PASS,FAIL, ,FAIL,PASS, , ,FAIL, ,PASS,FAIL,4,
4,PASS, ,PASS,PASS,EXC,PASS,PASS,EXC, ,PASS,PASS,PASS,PASS,2,
40, , , ,EXC, , , , , , ,EXC, , ,2,
400, , ,PASS,PASS, ,PASS,PASS, , ,FAIL, ,PASS,FAIL,2,
401, , ,PASS,PASS, ,PASS,PASS, , ,FAIL, ,PASS,FAIL,2,
402, , ,PASS,PASS, ,PASS,PASS, , ,FAIL, ,PASS,FAIL,2,
403, , ,PASS,PASS, ,PASS,PASS, , ,FAIL, ,PASS,FAIL,2,
404, , ,PASS,PASS, ,PASS,PASS, , ,FAIL, ,PASS,FAIL,2,
405, , ,PASS,PASS, ,PASS,PASS, , ,FAIL, ,PASS,FAIL,2,
406, , ,PASS,PASS, ,PASS,PASS, , ,PASS, ,PASS,FAIL,1,
407, , ,PASS,PASS, ,PASS,PASS, , ,FAIL, ,PASS,FAIL,2,
408, , ,PASS,PASS, ,PASS,PASS, , ,FAIL, ,PASS,FAIL,2,
409, , ,PASS,PASS, ,PASS,PASS, , ,PASS, ,PASS,FAIL,1,
41, , , ,EXC, , , , , , ,EXC, , ,2,
410, , ,PASS,PASS, ,PASS,PASS, , ,FAIL, ,PASS,PASS,1,
411, , ,PASS,PASS, ,PASS,PASS, , ,FAIL, ,PASS,PASS,1,
412, , ,PASS,PASS, ,PASS,PASS, , ,FAIL, ,PASS,PASS,1,
413, , ,PASS,PASS, ,PASS,PASS, , ,FAIL, ,PASS,PASS,1,
414, , ,PASS,PASS, ,PASS,PASS, , ,FAIL, ,PASS,FAIL,2,
415, , ,PASS,PASS, ,PASS,PASS, , ,FAIL, ,PASS,FAIL,2,
416, , ,PASS,PASS, ,PASS,PASS, , ,FAIL, ,PASS,PASS,1,
417, , ,PASS,PASS, ,PASS,PASS, , ,FAIL, ,PASS,FAIL,2,
418, , ,PASS,PASS, ,PASS,PASS, , ,PASS, ,PASS,FAIL,1,
419, , ,PASS,PASS, ,PASS,PASS, , ,PASS, ,PASS,FAIL,1,
42, , , ,PASS, , , , , , ,FAIL, , ,1,
420, , ,PASS,PASS, ,PASS,PASS, , ,PASS, ,PASS,FAIL,1,
421, , ,PASS,PASS, ,PASS,PASS, , ,PASS, ,PASS,FAIL,1,
422, , ,FAIL,PASS, ,PASS,PASS, , ,PASS, ,PASS,FAIL,2,
423, , ,PASS,PASS, ,PASS,PASS, , ,PASS, ,PASS,FAIL,1,
424, , ,PASS,PASS, ,PASS,PASS, , ,PASS, ,PASS,FAIL,1,
425, , ,PASS,PASS, ,PASS,PASS, , ,PASS, ,PASS,FAIL,1,
426, , ,PASS,PASS, ,PASS,PASS, , ,FAIL, ,PASS,FAIL,2,
427, , ,PASS,PASS, ,PASS,PASS, , ,FAIL, ,PASS,PASS,1,
428, , ,PASS,PASS, ,PASS,PASS, , ,PASS, ,PASS,PASS,0,
429, , ,PASS,PASS, ,PASS,PASS, , ,PASS, ,PASS,PASS,0,
43, , , ,EXC, , , , , , ,EXC, , ,2,
430, , ,PASS,PASS, ,PASS,PASS, , ,PASS, ,PASS,PASS,0,
431, , ,PASS,PASS, ,PASS,PASS, , ,FAIL, ,PASS,FAIL,2,
432, , ,PASS,PASS, ,PASS,PASS, , ,FAIL, ,PASS,FAIL,2,
433, , ,PASS,PASS, ,PASS,PASS, , ,FAIL, ,PASS,PASS,1,
434, , ,PASS,PASS, ,FAIL,PASS, , ,PASS, ,PASS,FAIL,2,
435, , ,PASS,PASS, ,PASS,PASS, , ,FAIL, ,PASS,FAIL,2,
436, , ,PASS,PASS, ,PASS,PASS, , ,FAIL, ,PASS,FAIL,2,
437, , ,FAIL,FAIL, ,FAIL,PASS, , ,FAIL, ,FAIL,FAIL,6,
44, , , ,EXC, , , , , , ,EXC, , ,2,
45, , , ,EXC, , , , , , ,EXC, , ,2,
46, , , ,EXC, , , , , , ,EXC, , ,2,
47, , , ,FAIL, , , , , , ,PASS, , ,1,
48, , , ,EXC, , , , , , ,EXC, , ,2,
49, , , ,FAIL, , , , , , ,PASS, , ,1,
5,EXC, ,EXC,EXC,PASS,EXC,EXC,PASS, ,PASS,PASS,PASS,PASS,5,
50, , , ,FAIL, , , , , , ,PASS, , ,1,
51, , , ,FAIL, , , , , , ,EXC, , ,2,
52, , , ,FAIL, , , , , , ,PASS, , ,1,
53, , , ,FAIL, , , , , , ,PASS, , ,1,
54, , , ,FAIL, , , , , , ,PASS, , ,1,
55, , , ,EXC, , , , , , ,EXC, , ,2,
56, , , ,FAIL, , , , , , ,PASS, , ,1,
57, , , ,PASS, , , , , , ,PASS, , ,0,
58, , , ,FAIL, , , , , , ,PASS, , ,1,
59, , , ,FAIL, , , , , , ,PASS, , ,1,
6,PASS, ,PASS,PASS,PASS,PASS,PASS,PASS, ,EXC,EXC,EXC,EXC,4,
60, , , ,FAIL, , , , , , ,PASS, , ,1,
61, , , ,FAIL, , , , , , ,PASS, , ,1,
62, , , ,FAIL, , , , , , ,PASS, , ,1,
63, , , ,FAIL, , , , , , ,PASS, , ,1,
64, , , ,PASS, , , , , , ,PASS, , ,0,
65, , , ,FAIL, , , , , , ,PASS, , ,1,
66, , , ,FAIL, , , , , , ,PASS, , ,1,
67, , , ,EXC, , , , , , ,EXC, , ,2,
68, , , ,EXC, , , , , , ,EXC, , ,2,
69, , , ,EXC, , , , , , ,EXC, , ,2,
7,PASS, ,PASS,PASS,EXC,PASS,PASS,EXC, ,EXC,EXC,EXC,EXC,6,
70, , , ,EXC, , , , , , ,FAIL, , ,2,
71, , , ,EXC, , , , , , ,EXC, , ,2,
72, , , ,EXC, , , , , , ,FAIL, , ,2,
73, , , ,EXC, , , , , , ,FAIL, , ,2,
74, , , ,EXC, , , , , , ,EXC, , ,2,
75, , , ,EXC, , , , , , ,FAIL, , ,2,
76, , , ,EXC, , , , , , ,FAIL, , ,2,
77, , , ,EXC, , , , , , ,EXC, , ,2,
78, , , ,EXC, , , , , , ,EXC, , ,2,
79, , , ,EXC, , , , , , ,FAIL, , ,2,
8,EXC, ,EXC,EXC,EXC,EXC,EXC,EXC, ,PASS,PASS,PASS,PASS,7,
80, , , ,EXC, , , , , , ,EXC, , ,2,
81, , , ,EXC, , , , , , ,EXC, , ,2,
82, , , ,PASS, , , , , , ,PASS, , ,0,
83, , , ,EXC, , , , , , ,EXC, , ,2,
84, , , ,TIME, , , , , , ,PASS, , ,1,
85, , , ,TIME, , , , , , ,PASS, , ,1,
86, , , ,EXC, , , , , , ,FAIL, , ,2,
87, , , ,EXC, , , , , , ,EXC, , ,2,
88, , , ,EXC, , , , , , ,EXC, , ,2,
89, , , ,EXC, , , , , , ,FAIL, , ,2,
9,EXC, ,EXC,EXC,EXC,EXC,EXC,EXC, ,EXC,EXC,EXC,EXC,11,
90, , , ,EXC, , , , , , ,EXC, , ,2,
91, , , ,EXC, , , , , , ,EXC, , ,2,
92, , , ,EXC, , , , , , ,EXC, , ,2,
93, , , ,EXC, , , , , , ,FAIL, , ,2,
94, , , ,FAIL, , , , , , ,PASS, , ,1,
95,FAIL, ,PASS,FAIL, ,FAIL,PASS, , ,PASS,PASS,PASS,PASS,3,
96,FAIL, ,PASS,FAIL, ,FAIL,PASS, , ,PASS,PASS,PASS,PASS,3,
97,PASS, ,FAIL,FAIL, ,FAIL,PASS, , ,PASS,PASS,PASS,EXC,4,
98,PASS, ,PASS,FAIL, ,FAIL,PASS, , ,PASS,PASS,PASS,PASS,2,
99,FAIL, ,PASS,FAIL, ,FAIL,PASS, , ,PASS,PASS,PASS,PASS,3,
