Mutant,org.apache.commons.math.linear.CholeskyDecompositionImplTest[testDimensions],org.apache.commons.math.linear.CholeskyDecompositionImplTest[testMath274],org.apache.commons.math.linear.CholeskyDecompositionImplTest[testNotPositiveDefinite],org.apache.commons.math.linear.CholeskyDecompositionImplTest[testLTTransposed],org.apache.commons.math.linear.CholeskyDecompositionImplTest[testAEqualLLT],org.apache.commons.math.linear.CholeskySolverTest[testDeterminant],org.apache.commons.math.linear.CholeskyDecompositionImplTest[testLLowerTriangular],org.apache.commons.math.linear.CholeskyDecompositionImplTest[testNotSymmetricMatrixException],org.apache.commons.math.linear.CholeskyDecompositionImplTest[testNonSquare],org.apache.commons.math.linear.CholeskySolverTest[testSolveDimensionErrors],org.apache.commons.math.linear.CholeskyDecompositionImplTest[testMatricesValues],org.apache.commons.math.linear.CholeskySolverTest[testSolve],org.apache.commons.math.linear.CholeskyDecompositionImpl_ESTest[test6],org.apache.commons.math.linear.CholeskyDecompositionImpl_ESTest[test5],org.apache.commons.math.linear.CholeskyDecompositionImpl_ESTest[test3],org.apache.commons.math.linear.CholeskyDecompositionImpl_ESTest[test4],org.apache.commons.math.linear.CholeskyDecompositionImpl_ESTest[test0],org.apache.commons.math.linear.CholeskyDecompositionImpl_ESTest[test1],org.apache.commons.math.linear.CholeskyDecompositionImpl_ESTest[test2],Total,Equiv?
5,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, ,0,
50,PASS,PASS,PASS,PASS,FAIL,PASS,FAIL,PASS, ,PASS,FAIL,PASS, , ,PASS,PASS, ,PASS, ,3,
51,PASS,FAIL,PASS,PASS,FAIL,FAIL,PASS, , ,PASS,FAIL,FAIL,FAIL,FAIL, ,PASS,FAIL,PASS, ,8,
52,EXC,EXC,EXC,EXC,EXC,EXC,EXC, , ,EXC,EXC,EXC,EXC,EXC, ,EXC,PASS,EXC, ,14,
53,PASS,PASS,PASS,PASS,PASS,PASS,PASS, , ,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS,PASS, ,0,
54,EXC,PASS,PASS,EXC,EXC,EXC,EXC, , ,EXC,EXC,EXC,EXC,EXC, ,EXC,PASS,EXC, ,12,
55,PASS,FAIL,FAIL,PASS,FAIL,FAIL,PASS, , ,PASS,FAIL,FAIL,FAIL,FAIL, ,PASS,FAIL,PASS, ,9,
56,PASS,FAIL,FAIL,PASS,FAIL,FAIL,PASS, , ,PASS,FAIL,FAIL,FAIL,FAIL, ,PASS,FAIL,PASS, ,9,
57,PASS,FAIL,FAIL,PASS,FAIL,FAIL,PASS, , ,PASS,FAIL,FAIL,FAIL,FAIL, ,PASS,FAIL,PASS, ,9,
58,PASS,FAIL,FAIL,PASS,FAIL,FAIL,PASS, , ,PASS,FAIL,FAIL,FAIL,FAIL, ,PASS,FAIL,PASS, ,9,
59,EXC,PASS,PASS,EXC,EXC,EXC,EXC, , ,EXC,EXC,EXC,EXC,EXC, ,EXC,PASS,EXC, ,12,
6,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, ,0,
60,EXC,EXC,EXC,EXC,EXC,EXC,EXC, , ,EXC,EXC,EXC,EXC,EXC, ,EXC,PASS,EXC, ,14,
61,EXC,PASS,PASS,EXC,EXC,EXC,EXC, , ,EXC,EXC,EXC,PASS,EXC, ,EXC,PASS,EXC, ,11,
62,PASS,PASS,PASS,PASS,PASS,PASS,PASS, , ,PASS,PASS,PASS,EXC,PASS, ,EXC,PASS,EXC, ,3,
63,PASS,FAIL,FAIL,PASS,PASS,PASS,PASS, , ,PASS,PASS,PASS,EXC,PASS, ,EXC,FAIL,EXC, ,6,
64,EXC,PASS,PASS,EXC,EXC,EXC,EXC, , ,EXC,EXC,EXC,PASS,EXC, ,PASS,FAIL,PASS, ,10,
65,EXC,PASS,PASS,EXC,EXC,EXC,EXC, , ,EXC,EXC,EXC,EXC,EXC, ,EXC,FAIL,EXC, ,13,
66,PASS,FAIL,FAIL,PASS,PASS,PASS,PASS, , ,PASS,PASS,PASS,PASS,PASS, ,PASS,FAIL,PASS, ,3,
67,EXC,PASS,PASS,EXC,EXC,EXC,EXC, , ,EXC,EXC,EXC,EXC,EXC, ,EXC,PASS,EXC, ,12,
68,PASS,PASS,FAIL,PASS,FAIL,FAIL,PASS, , ,PASS,FAIL,FAIL,FAIL,FAIL, ,PASS, ,PASS, ,7,
69,PASS,FAIL,FAIL,PASS,FAIL,FAIL,PASS, , ,PASS,FAIL,FAIL,PASS,PASS, ,PASS, ,PASS, ,6,
7,PASS,PASS,PASS,PASS,FAIL,PASS,FAIL,FAIL, ,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS, ,4,
70,PASS,PASS,PASS,PASS,FAIL,PASS,PASS, , ,PASS,FAIL,FAIL,PASS,PASS, ,PASS, ,PASS, ,3,
71,EXC,FAIL,PASS,EXC,EXC,EXC,EXC, , ,EXC,EXC,EXC,PASS,PASS, ,PASS, ,PASS, ,9,
72,EXC,FAIL,PASS,EXC,EXC,EXC,EXC, , ,EXC,EXC,EXC,PASS,PASS, ,PASS, ,PASS, ,9,
73,EXC,FAIL,PASS,EXC,EXC,EXC,EXC, , ,EXC,EXC,EXC,PASS,PASS, ,PASS, ,PASS, ,9,
74,EXC,FAIL,PASS,EXC,EXC,EXC,EXC, , ,EXC,EXC,EXC,PASS,PASS, ,PASS, ,PASS, ,9,
75,EXC,EXC,EXC,EXC,EXC,EXC,EXC, , ,EXC,EXC,EXC,EXC,EXC, ,EXC, ,EXC, ,14,
76,EXC,EXC,EXC,EXC,EXC,EXC,EXC, , ,EXC,EXC,EXC,EXC,EXC, ,EXC, ,EXC, ,14,
77,PASS,FAIL,FAIL,PASS,FAIL,FAIL,PASS, , ,PASS,FAIL,FAIL,PASS,PASS, ,PASS, ,PASS, ,6,
78,EXC,EXC,EXC,EXC,EXC,EXC,EXC, , ,EXC,EXC,EXC,EXC,EXC, ,EXC, ,EXC, ,14,
79,EXC,EXC,EXC,EXC,EXC,EXC,EXC, , ,EXC,EXC,EXC,EXC,EXC, ,EXC, ,EXC, ,14,
8,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, ,EXC,EXC,EXC,EXC,EXC,PASS,EXC,PASS,EXC, ,15,
80,EXC,EXC,EXC,EXC,EXC,EXC,EXC, , ,EXC,EXC,EXC,EXC,EXC, ,EXC, ,EXC, ,14,
81,PASS,PASS,PASS,PASS,PASS,PASS,PASS, , ,PASS,PASS,PASS,PASS,PASS, ,PASS, ,PASS, ,0,
82,PASS,FAIL,FAIL,PASS,FAIL,FAIL,PASS, , ,PASS,FAIL,FAIL,PASS,PASS, ,PASS, ,PASS, ,6,
83,EXC,EXC,EXC,EXC,EXC,EXC,EXC, , ,EXC,EXC,EXC,EXC,EXC, ,EXC, ,EXC, ,14,
84,PASS,FAIL,FAIL,PASS,FAIL,FAIL,PASS, , ,PASS,FAIL,FAIL,FAIL,FAIL, ,PASS, ,PASS, ,8,
85,PASS,PASS,PASS,PASS,FAIL,FAIL,PASS, , ,PASS,FAIL,FAIL,FAIL,FAIL, ,PASS, ,PASS, ,6,
86,PASS,FAIL,FAIL,PASS,FAIL,FAIL,PASS, , ,PASS,FAIL,FAIL,PASS,PASS, ,PASS, ,PASS, ,6,
87,EXC,EXC,EXC,EXC,EXC,EXC,EXC, , ,EXC,EXC,EXC,EXC,EXC, ,EXC, ,EXC, ,14,
88,EXC,FAIL,PASS,EXC,EXC,EXC,EXC, , ,EXC,EXC,EXC, , , ,PASS, ,PASS, ,9,
89,EXC,EXC,EXC,EXC,EXC,EXC,EXC, , ,EXC,EXC,EXC, , , ,EXC, ,EXC, ,12,
9,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, ,0,
90,PASS,PASS,PASS,PASS,FAIL,PASS,FAIL, , ,PASS,FAIL,PASS, , , ,PASS, ,PASS, ,3,
91,PASS,PASS,PASS,PASS,PASS,PASS,PASS, , ,PASS,PASS,PASS, , , ,PASS, ,PASS, ,0,
92,EXC,EXC,EXC,EXC,EXC,EXC,EXC, , ,EXC,EXC,EXC, , , ,EXC, ,EXC, ,12,
93,PASS,FAIL,FAIL,PASS,FAIL,FAIL,PASS, , ,PASS,FAIL,FAIL, , , ,PASS, ,PASS, ,6,
94,PASS,FAIL,FAIL,PASS,FAIL,FAIL,PASS, , ,PASS,FAIL,FAIL, , , ,PASS, ,PASS, ,6,
95,PASS,FAIL,FAIL,PASS,FAIL,FAIL,PASS, , ,PASS,FAIL,FAIL, , , ,PASS, ,PASS, ,6,
96,PASS,FAIL,FAIL,PASS,FAIL,FAIL,PASS, , ,PASS,FAIL,FAIL, , , ,PASS, ,PASS, ,6,
97,EXC,EXC,EXC,EXC,EXC,EXC,EXC, , ,EXC,EXC,EXC, , , ,EXC, ,EXC, ,12,
98,PASS,FAIL,FAIL,PASS,FAIL,FAIL,PASS, , ,PASS,FAIL,FAIL, , , ,PASS, ,PASS, ,6,
99,PASS,FAIL,FAIL,PASS,FAIL,FAIL,PASS, , ,PASS,FAIL,FAIL, , , ,PASS, ,PASS, ,6,
