Mutant,com.google.javascript.jscomp.FunctionRewriterTest[testReplaceEmptyFunction2],com.google.javascript.jscomp.FunctionRewriterTest[testReplaceEmptyFunction3],com.google.javascript.jscomp.FunctionRewriterTest[testReplaceGetter2],com.google.javascript.jscomp.CommandLineRunnerTest[testCheckGlobalThisOnWithAdvancedMode],com.google.javascript.jscomp.FunctionRewriterTest[testReplaceEmptyFunction1],com.google.javascript.jscomp.FunctionRewriterTest[testReplaceSetter3],com.google.javascript.jscomp.FunctionRewriterTest[testReplaceGetter1],com.google.javascript.jscomp.FunctionRewriterTest[testReplaceSetter2],com.google.javascript.jscomp.FunctionRewriterTest[testReplaceIdentityFunction2],com.google.javascript.jscomp.FunctionRewriterTest[testReplaceReturnConst1],com.google.javascript.jscomp.FunctionRewriterTest[testReplaceReturnConst2],com.google.javascript.jscomp.FunctionRewriterTest[testReplaceReturnConst3],com.google.javascript.jscomp.FunctionRewriterTest[testReplaceSetter1],com.google.javascript.jscomp.CommandLineRunnerTest[testDebugFlag4],com.google.javascript.jscomp.FunctionRewriterTest[testIssue538],com.google.javascript.jscomp.FunctionRewriterTest[testReplaceSetter4],com.google.javascript.jscomp.CommandLineRunnerTest[testReflectedMethods],com.google.javascript.jscomp.CommandLineRunnerTest[testDebugFlag3],com.google.javascript.jscomp.FunctionRewriterTest[testReplaceIdentityFunction1],com.google.javascript.jscomp.FunctionRewriter_ESTest[test0],com.google.javascript.jscomp.FunctionRewriter_ESTest[test3],com.google.javascript.jscomp.FunctionRewriter_ESTest[test6],com.google.javascript.jscomp.FunctionRewriter_ESTest[test1],com.google.javascript.jscomp.FunctionRewriter_ESTest[test2],com.google.javascript.jscomp.FunctionRewriter_ESTest[test4],com.google.javascript.jscomp.FunctionRewriter_ESTest[test5],com.google.javascript.jscomp.CommandLineRunnerTest[testIssue504],com.google.javascript.jscomp.CommandLineRunnerTest[testIssue81],com.google.javascript.jscomp.CommandLineRunnerTest[testGoogAssertStripping],Total,Equiv?
233, , , , , , , ,PASS, , , , ,PASS, , ,PASS, , , , , , , , , , , , , ,0,
234, , , , , , , ,FAIL, , , , ,FAIL, , ,PASS, , , , , , , , , , , , , ,2,
235, , , , , , , ,PASS, , , , ,PASS, , ,FAIL, , , , , , , , , , , , , ,1,
236, , , , , , , ,PASS, , , , ,PASS, , ,PASS, , , , , , , , , , , , , ,0,
237, , , , , , , ,PASS, , , , ,PASS, , ,FAIL, , , , , , , , , , , , , ,1,
238, , , , , , , ,PASS, , , , ,PASS, , ,FAIL, , , , , , , , , , , , , ,1,
239, , , , , , , ,FAIL, , , , ,FAIL, , , , , , , , , , , , , , , , ,2,
24, ,FAIL, , ,FAIL, ,FAIL,FAIL, ,FAIL, ,FAIL,FAIL,FAIL,FAIL, , ,FAIL,FAIL,EXC, , ,EXC, , , , , , ,13,
240, , , , , , , ,FAIL, , , , ,FAIL, , , , , , , , , , , , , , , , ,2,
25, ,FAIL, , ,FAIL, ,FAIL,FAIL, ,FAIL, ,FAIL,FAIL,PASS,PASS, , ,PASS,FAIL,PASS, , ,PASS, , , , , , ,8,
26, ,PASS, , ,PASS, ,PASS,PASS, ,PASS, ,PASS,FAIL,PASS,PASS, , ,PASS,PASS,PASS, , ,PASS, , , , , , ,1,
27, ,FAIL, , ,FAIL, ,FAIL,FAIL, ,FAIL, ,FAIL,FAIL,PASS,PASS, , ,PASS,FAIL,PASS, , ,PASS, , , , , , ,8,
28, ,FAIL, , ,FAIL, ,FAIL,FAIL, ,FAIL, ,FAIL,FAIL,FAIL,FAIL, , ,FAIL,FAIL,EXC, , ,EXC, , , , , , ,13,
29, ,FAIL, , ,FAIL, ,FAIL,FAIL, ,FAIL, ,FAIL,FAIL, , , , , ,FAIL, , , , , , , , , , ,8,
3,EXC,EXC,EXC,FAIL,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS,EXC,EXC,FAIL,PASS,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS,PASS,PASS,24,
30, ,EXC, , ,EXC, ,EXC,EXC, ,EXC, ,EXC,EXC, , , , , ,EXC, , , , , , , , , , ,8,
31, ,FAIL, , ,FAIL, ,FAIL,FAIL, ,FAIL, ,FAIL,FAIL, , , , , ,FAIL, , , , , , , , , , ,8,
32, ,PASS, , ,PASS, ,PASS,PASS, ,PASS, ,PASS,PASS, , , , , ,PASS, , , , , , , , , , ,0,
33, ,PASS, , ,PASS, ,PASS,PASS, ,PASS, ,PASS,PASS,PASS,PASS, , ,PASS,PASS,PASS, , ,PASS,PASS, , , , , ,0,
34, ,FAIL, , ,FAIL, ,FAIL,FAIL, ,FAIL, ,FAIL,FAIL,PASS,PASS, , ,PASS,FAIL,PASS, , ,PASS,PASS, , , , , ,8,
35, ,FAIL, , ,FAIL, ,FAIL,FAIL, ,FAIL, ,FAIL,FAIL,PASS,PASS, , ,PASS,FAIL,PASS, , ,PASS,PASS, , , , , ,8,
36, ,PASS, , ,PASS, ,PASS,PASS, ,PASS, ,PASS,PASS,PASS,PASS, , ,PASS,PASS,PASS, , ,PASS,PASS, , , , , ,0,
37,EXC,EXC,EXC,FAIL,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS,EXC,EXC,FAIL,PASS,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS,PASS,PASS,24,
38,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS,PASS,PASS,7,
39,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,PASS,FAIL,PASS,FAIL,FAIL,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,6,
4,PASS,FAIL,PASS,PASS,FAIL,PASS,FAIL,FAIL,PASS,FAIL,PASS,FAIL,FAIL,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,8,
40,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,EXC,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1,
41,EXC,EXC,EXC,FAIL,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS,EXC,EXC,FAIL,PASS,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS,PASS,PASS,24,
42,EXC,EXC,EXC,FAIL,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS,EXC,EXC,FAIL,PASS,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS,PASS,PASS,24,
43,EXC,EXC,EXC,FAIL,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS,EXC,EXC,FAIL,PASS,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS,PASS,PASS,24,
44, ,EXC, , ,EXC, ,EXC,EXC, ,EXC, ,EXC,EXC,PASS,PASS, , ,PASS,EXC,PASS, , ,PASS,PASS, , , , , ,8,
45, ,EXC, , ,EXC, ,EXC,EXC, ,EXC, ,EXC,EXC,PASS,EXC, , ,PASS,EXC,EXC, , ,EXC,PASS, , , , , ,11,
46, ,EXC, , ,EXC, ,EXC,EXC, ,EXC, ,EXC,EXC,PASS,EXC, , ,PASS,EXC,EXC, , ,EXC,PASS, , , , , ,11,
47, ,FAIL, , ,FAIL, ,FAIL,FAIL, ,FAIL, ,FAIL,FAIL, , , , , ,FAIL, , , , , , , , , , ,8,
48, ,PASS, , ,PASS, ,PASS,PASS, ,PASS, ,PASS,PASS, , , , , ,PASS, , , , , , , , , , ,0,
49, ,FAIL, , ,FAIL, ,FAIL,FAIL, ,FAIL, ,FAIL,FAIL,PASS,PASS, , ,PASS,FAIL,PASS, , ,PASS, , , , , , ,8,
5,EXC,EXC,EXC,FAIL,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS,EXC,EXC,FAIL,PASS,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS,PASS,PASS,24,
50, ,FAIL, , ,FAIL, ,FAIL,FAIL, ,FAIL, ,FAIL,FAIL,FAIL,FAIL, , ,FAIL,FAIL,EXC, , ,EXC, , , , , , ,13,
51, ,FAIL, , ,FAIL, ,FAIL,FAIL, ,FAIL, ,FAIL,FAIL,PASS,PASS, , ,PASS,PASS,PASS, , ,PASS, , , , , , ,7,
52, ,FAIL, , ,FAIL, ,FAIL,FAIL, ,FAIL, ,FAIL,FAIL,PASS,PASS, , ,PASS,FAIL,PASS, , ,PASS, , , , , , ,8,
53,EXC,EXC,EXC,FAIL,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS,EXC,EXC,FAIL,PASS,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS,PASS,PASS,24,
54,PASS,EXC,PASS,PASS,EXC,PASS,EXC,EXC,PASS,EXC,PASS,EXC,EXC,PASS,EXC,PASS,PASS,PASS,EXC,EXC,PASS,PASS,EXC,EXC,PASS,PASS,PASS,PASS,PASS,12,
55,EXC,EXC,EXC,FAIL,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS,EXC,EXC,FAIL,PASS,EXC,EXC,EXC,EXC,EXC,PASS,EXC,EXC,PASS,PASS,PASS,23,
56,PASS,FAIL,PASS,PASS,FAIL,PASS,FAIL,FAIL,PASS,FAIL,PASS,FAIL,FAIL,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,8,
57,PASS,FAIL,PASS,PASS,FAIL,PASS,FAIL,FAIL,PASS,FAIL,PASS,FAIL,FAIL,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,8,
58,PASS,FAIL,PASS,PASS,FAIL,PASS,FAIL,FAIL,PASS,FAIL,PASS,FAIL,FAIL,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,8,
59, ,FAIL, , ,FAIL, ,FAIL,FAIL, ,FAIL, ,FAIL,FAIL,PASS,PASS, , ,PASS,FAIL,PASS, , ,PASS,PASS, , , , , ,8,
6,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0,
60, ,PASS, , ,PASS, ,PASS,PASS, ,PASS, ,PASS,PASS,PASS,PASS, , ,PASS,PASS,PASS, , ,PASS,PASS, , , , , ,0,
61, ,PASS, , ,PASS, ,PASS,PASS, ,PASS, ,PASS,PASS,PASS,PASS, , ,PASS,PASS,PASS, , ,PASS,PASS, , , , , ,0,
62,PASS,FAIL,PASS,PASS,FAIL,PASS,FAIL,FAIL,PASS,FAIL,PASS,FAIL,FAIL,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,8,
63, ,EXC, , ,EXC, ,EXC,EXC, ,EXC, ,EXC,EXC,PASS,EXC, , ,PASS,EXC,EXC, , ,EXC,EXC, , , , , ,12,
64, ,FAIL, , ,FAIL, ,FAIL,FAIL, ,FAIL, ,FAIL,FAIL,PASS,PASS, , ,PASS,FAIL,PASS, , ,PASS,PASS, , , , , ,8,
65, ,FAIL, , ,FAIL, ,FAIL,FAIL, ,FAIL, ,FAIL,FAIL,PASS,PASS, , ,PASS,FAIL,PASS, , ,PASS,PASS, , , , , ,8,
66, ,EXC, , ,EXC, ,FAIL,FAIL, ,FAIL, ,FAIL,FAIL,PASS,EXC, , ,PASS,EXC,EXC, , ,EXC,PASS, , , , , ,11,
67, ,EXC, , ,EXC, ,FAIL,FAIL, ,FAIL, ,FAIL,FAIL,PASS,EXC, , ,PASS,EXC,EXC, , ,EXC,EXC, , , , , ,12,
68, ,PASS, , ,PASS, ,FAIL,FAIL, ,FAIL, ,FAIL,FAIL,PASS,PASS, , ,PASS,PASS,PASS, , ,PASS,PASS, , , , , ,5,
69, ,EXC, , ,EXC, ,PASS,PASS, ,PASS, ,PASS,PASS,PASS,EXC, , ,PASS,EXC,EXC, , ,EXC,EXC, , , , , ,7,
7,PASS,FAIL,PASS,PASS,FAIL,PASS,FAIL,FAIL,PASS,FAIL,PASS,FAIL,FAIL,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,8,
70, , , , , , ,FAIL,FAIL, ,FAIL, ,FAIL,FAIL, , , , , , , , , , , , , , , , ,5,
71, ,EXC, , ,EXC, ,EXC,EXC, ,EXC, ,EXC,EXC,PASS,EXC, , ,PASS,EXC,EXC, , ,EXC,PASS, , , , , ,11,
72, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,
73, ,EXC, , ,EXC, , , , , , , , ,PASS,EXC, , ,PASS, ,EXC, , , , , , , , , ,4,
74,PASS,FAIL,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,2,
75,EXC,EXC,EXC,PASS,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS,EXC,EXC,FAIL,PASS,EXC,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,16,
76, ,EXC, , ,EXC, , , , , , , , ,PASS,EXC, , ,PASS, ,EXC, , , , , , , , , ,4,
77,EXC,EXC,EXC,FAIL,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS,EXC,EXC,FAIL,PASS,EXC,EXC,EXC,EXC,EXC,PASS,EXC,EXC,PASS,PASS,PASS,23,
78, ,EXC,EXC, ,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS,EXC,EXC,FAIL,PASS,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, , , ,22,
79, ,PASS,PASS, ,PASS,PASS,FAIL,PASS,PASS,FAIL,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS, , , ,4,
8,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0,
80, ,EXC,PASS, ,EXC,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,EXC,PASS,PASS,PASS,PASS,EXC,PASS,PASS,PASS,PASS,PASS,PASS, , , ,4,
81, ,EXC, , ,EXC, , , , , , , , ,PASS,EXC, , ,PASS, ,EXC, , , , , , , , , ,4,
82, , ,EXC, , ,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, , ,EXC,FAIL, ,EXC, ,EXC,EXC,EXC,EXC,EXC,EXC, , , ,18,
83, , ,PASS, , ,PASS,FAIL,PASS,PASS,FAIL,PASS,FAIL,PASS, , ,PASS,PASS, ,FAIL, ,PASS,PASS,PASS,PASS,PASS,PASS, , , ,4,
84, , ,PASS, , ,PASS,FAIL,PASS,PASS,FAIL,PASS,FAIL,PASS, , ,PASS,PASS, ,FAIL, ,PASS,PASS,PASS,PASS,PASS,PASS, , , ,4,
85, , ,PASS, , ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, , ,PASS,PASS, ,PASS, ,PASS,PASS,PASS,PASS,PASS,PASS, , , ,0,
86, , ,PASS, , ,PASS,FAIL,PASS,PASS,FAIL,PASS,FAIL,PASS, , ,PASS,PASS, ,FAIL, ,PASS,PASS,PASS,PASS,PASS,PASS, , , ,4,
87, , ,PASS, , ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, , ,PASS,PASS, ,PASS, ,PASS,PASS,PASS,PASS,PASS,PASS, , , ,0,
88, , ,PASS, , ,PASS,FAIL,PASS,PASS,FAIL,PASS,FAIL,PASS, , ,PASS,PASS, ,FAIL, ,PASS,PASS,PASS,PASS,PASS,PASS, , , ,4,
89, , ,PASS, , ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, , ,PASS,TIME, ,PASS, ,PASS,PASS,PASS,PASS,PASS,PASS, , , ,1,
9, ,FAIL, , ,FAIL, ,FAIL,FAIL, ,FAIL, ,FAIL,FAIL,PASS,PASS, , ,PASS,FAIL,PASS, , ,PASS,PASS, , , , , ,8,
90, , ,PASS, , , ,FAIL, ,PASS,FAIL,PASS,FAIL, , , , , , ,FAIL, , ,PASS,PASS,PASS,PASS,PASS, , , ,4,
91, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,
92, , , , , , , , , , , , , , , , , , ,EXC, , , ,EXC,EXC, , , , , ,3,
93,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1,
94,EXC,EXC,EXC,FAIL,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS,EXC,EXC,FAIL,PASS,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS,PASS,PASS,24,
95,EXC,EXC,EXC,FAIL,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS,EXC,EXC,FAIL,PASS,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS,PASS,PASS,24,
96, , ,PASS, , ,PASS, , ,PASS, ,PASS, , , , ,PASS,PASS, ,FAIL, ,PASS,PASS,PASS,PASS,PASS,PASS, , , ,1,
97, , ,FAIL, , ,FAIL, , ,FAIL, ,FAIL, , , , ,FAIL,PASS, ,PASS, ,PASS,PASS,PASS,PASS,PASS,PASS, , , ,5,
98, , , , , , , , , , , , , , , , , , ,EXC, , , ,EXC,PASS, , , , , ,2,
99, , ,EXC, , ,EXC, , ,EXC, ,EXC, , , , ,EXC,FAIL, , , ,EXC,EXC, , ,EXC,EXC, , , ,10,
