Mutant,org.apache.commons.lang.LocaleUtilsTest[testAvailableLocaleList],org.apache.commons.lang.LocaleUtilsTest[testLang328],org.apache.commons.lang.LocaleUtilsTest[testToLocale_1Part],org.apache.commons.lang.LocaleUtilsTest[testConstructor],org.apache.commons.lang.LocaleUtilsTest[testIsAvailableLocale],org.apache.commons.lang.LocaleUtilsTest[testCountriesByLanguage],org.apache.commons.lang.LocaleUtilsTest[testLocaleLookupList_LocaleLocale],org.apache.commons.lang.LocaleUtilsTest[testLanguagesByCountry],org.apache.commons.lang.LocaleUtilsTest[testToLocale_2Part],org.apache.commons.lang.LocaleUtilsTest[testToLocale_3Part],org.apache.commons.lang.LocaleUtilsTest[testLocaleLookupList_Locale],org.apache.commons.lang.LocaleUtilsTest[testAvailableLocaleSet],org.apache.commons.lang.LocaleUtils_ESTest[test02],org.apache.commons.lang.LocaleUtils_ESTest[test23],org.apache.commons.lang.LocaleUtils_ESTest[test22],org.apache.commons.lang.LocaleUtils_ESTest[test21],org.apache.commons.lang.LocaleUtils_ESTest[test18],org.apache.commons.lang.LocaleUtils_ESTest[test17],org.apache.commons.lang.LocaleUtils_ESTest[test15],org.apache.commons.lang.LocaleUtils_ESTest[test08],org.apache.commons.lang.LocaleUtils_ESTest[test07],org.apache.commons.lang.LocaleUtils_ESTest[test06],org.apache.commons.lang.LocaleUtils_ESTest[test05],org.apache.commons.lang.LocaleUtils_ESTest[test04],org.apache.commons.lang.LocaleUtils_ESTest[test03],org.apache.commons.lang.LocaleUtils_ESTest[test25],org.apache.commons.lang.LocaleUtils_ESTest[test01],org.apache.commons.lang.LocaleUtils_ESTest[test00],org.apache.commons.lang.LocaleUtils_ESTest[test20],org.apache.commons.lang.LocaleUtils_ESTest[test19],org.apache.commons.lang.LocaleUtils_ESTest[test16],org.apache.commons.lang.LocaleUtils_ESTest[test14],org.apache.commons.lang.LocaleUtils_ESTest[test13],org.apache.commons.lang.LocaleUtils_ESTest[test12],org.apache.commons.lang.LocaleUtils_ESTest[test11],org.apache.commons.lang.LocaleUtils_ESTest[test24],org.apache.commons.lang.LocaleUtils_ESTest[test09],org.apache.commons.lang.LocaleUtils_ESTest[test10],Total,Equiv?
24, ,PASS,EXC, , , , , ,PASS,PASS, , , , , , , ,PASS,PASS,PASS,PASS,EXC,PASS, ,PASS, , , , , ,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS,2,
240, , , , , , ,FAIL, , , ,FAIL, ,FAIL, , , , , , , , , , , , , , , ,FAIL,PASS, , , , , , , , ,4,
241, , , , , , ,PASS, , , ,PASS, ,PASS, , , , , , , , , , , , , , , ,PASS,PASS, , , , , , , , ,0,
242, , , , , , ,FAIL, , , ,FAIL, ,PASS, , , , , , , , , , , , , , , ,PASS,FAIL, , , , , , , , ,3,
243, , , , , , ,FAIL, , , ,FAIL, ,FAIL, , , , , , , , , , , , , , , ,FAIL,FAIL, , , , , , , , ,5,
244, , , , , , ,FAIL, , , ,FAIL, ,FAIL, , , , , , , , , , , , , , , ,FAIL,FAIL, , , , , , , , ,5,
245, , , , , , ,FAIL, , , ,FAIL, ,FAIL, , , , , , , , , , , , , , , ,FAIL,PASS, , , , , , , , ,4,
246, , , , , , ,FAIL, , , ,FAIL, ,PASS, , , , , , , , , , , , , , , ,PASS,FAIL, , , , , , , , ,3,
247, , , , , , ,FAIL, , , ,FAIL, ,FAIL, , , , , , , , , , , , , , , ,FAIL,PASS, , , , , , , , ,4,
248, , , , , , ,FAIL, , , ,FAIL, , , , , , , , , , , , , , , , , , ,FAIL, , , , , , , , ,3,
249, , , , , , ,PASS, , , ,PASS, ,PASS, , , , , , , , , , , , , , , ,PASS,PASS, , , , , , , , ,0,
25, ,PASS,EXC, , , , , ,EXC,PASS, , , , , , , ,PASS,PASS,PASS,PASS,EXC,EXC, ,PASS, , , , , ,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS,4,
250, , , , , , ,FAIL, , , ,FAIL, ,PASS, , , , , , , , , , , , , , , ,FAIL,FAIL, , , , , , , , ,4,
251, , , , , , ,PASS, , , ,PASS, ,PASS, , , , , , , , , , , , , , , ,PASS,PASS, , , , , , , , ,0,
252, , , , , , ,FAIL, , , ,FAIL, ,FAIL, , , , , , , , , , , , , , , ,PASS,PASS, , , , , , , , ,3,
253, , , , , , ,FAIL, , , ,FAIL, ,FAIL, , , , , , , , , , , , , , , ,FAIL,FAIL, , , , , , , , ,5,
254, , , , , , ,FAIL, , , ,FAIL, ,FAIL, , , , , , , , , , , , , , , ,FAIL,FAIL, , , , , , , , ,5,
255, , , , , , ,FAIL, , , ,FAIL, ,PASS, , , , , , , , , , , , , , , ,FAIL,FAIL, , , , , , , , ,4,
256, , , , , , ,FAIL, , , ,FAIL, ,FAIL, , , , , , , , , , , , , , , ,PASS,PASS, , , , , , , , ,3,
257, , , , , , ,FAIL, , , ,FAIL, ,PASS, , , , , , , , , , , , , , , ,FAIL,FAIL, , , , , , , , ,4,
258, , , , , , ,PASS, , , ,PASS, ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , ,0,
259, , , , , , ,FAIL, , , ,FAIL, ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , ,3,
26, ,PASS,EXC, , , , , ,PASS,FAIL, , , , , , , ,PASS,PASS,PASS,PASS,EXC,PASS, ,PASS, , , , , ,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS,3,
260, , , , , , ,FAIL, , , ,FAIL, ,FAIL, , , , , , , , , , , , , , , ,FAIL,FAIL, , , , , , , , ,5,
261, , , , , , ,FAIL, , , ,FAIL, ,FAIL, , , , , , , , , , , , , , , ,FAIL,FAIL, , , , , , , , ,5,
262, , , , , , ,FAIL, , , ,PASS, ,PASS, , , , , , , , , , , , , , , ,FAIL,PASS, , , , , , , , ,2,
263, , , , , , ,FAIL, , , ,FAIL, ,FAIL, , , , , , , , , , , , , , , ,PASS,FAIL, , , , , , , , ,4,
264, , , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , ,FAIL, , , , , , , , , ,2,
265, , , , , , ,EXC, , , ,EXC, ,EXC, , , ,EXC, , , , , , , , , , , ,EXC,EXC, , , , , , , , ,6,
266,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, , ,EXC,EXC, , , , , , , , , , , ,EXC, , , , , , , ,EXC, ,EXC,17,
267, , , , ,PASS, , , , , , ,FAIL, , , , , , , , , , , , , , , ,FAIL, , , , , , , , , , ,2,
268, , , , ,EXC, , , , , , ,FAIL, , , , , , , , , , , , , , , ,PASS, , , , , , , , , , ,2,
269, , , , ,EXC, , , , , , ,FAIL, , , , , , , , , , , , , , , ,PASS, , , , , , , , , , ,2,
27, ,PASS,PASS, , , , , ,EXC,PASS, , , , , , , ,PASS,PASS,PASS,PASS,PASS,EXC, ,PASS, , , , , ,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS,2,
270, , , , ,PASS, , , , , , ,FAIL, , , , , , , , , , , , , , , ,FAIL, , , , , , , , , , ,2,
271, , , , ,EXC, , , , , , ,EXC, , , , , , , , , , , , , , , ,EXC, , , , , , , , , , ,3,
272, , , , ,PASS, , , , , , ,FAIL, , , , , , , , , , , , , , , ,PASS, , , , , , , , , , ,1,
273, , , , ,PASS, , , , , , ,FAIL, , , , , , , , , , , , , , , ,FAIL, , , , , , , , , , ,2,
274, , , , ,EXC, , , , , , ,FAIL, , , , , , , , , , , , , , , ,PASS, , , , , , , , , , ,2,
275,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS, , ,FAIL,PASS, , , , , , , , , , , , , , , , , , , , , , ,2,
276, , , , , , , ,FAIL, , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , ,PASS, ,PASS,1,
277, , , , , , , ,FAIL, , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , ,EXC, ,PASS,2,
278, , , , , , , ,FAIL, , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , ,EXC, ,PASS,2,
279, , , , , , , ,FAIL, , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , ,PASS, ,PASS,1,
28, ,PASS,EXC, , , , , ,EXC,FAIL, , , , , , , ,PASS,PASS,PASS,PASS,EXC,EXC, ,PASS, , , , , ,PASS,PASS,PASS,PASS,PASS, ,PASS,EXC,6,
280, , , , , , , ,EXC, , , , , ,EXC, , , , , , , , , , , , , , , , , , , , , ,FAIL, ,PASS,3,
281, , , , , , , ,FAIL, , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , ,FAIL, ,PASS,2,
282, , , , , , , ,EXC, , , , , ,EXC, , , , , , , , , , , , , , , , , , , , , ,PASS, ,PASS,2,
283, , , , , , , ,EXC, , , , , , , , , , , , , , , , , , , , , , , , , , , ,EXC, ,EXC,3,
284, , , , , , , ,EXC, , , , , , , , , , , , , , , , , , , , , , , , , , , ,EXC, ,EXC,3,
285, , , , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS, ,PASS,0,
286, , , , , , , ,EXC, , , , , , , , , , , , , , , , , , , , , , , , , , , ,EXC, ,EXC,3,
287, , , , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS, ,PASS,0,
288, , , , , , , ,EXC, , , , , , , , , , , , , , , , , , , , , , , , , , , ,EXC, ,EXC,3,
289, , , , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , ,FAIL, ,PASS,2,
29, ,PASS,PASS, , , , , ,PASS,PASS, , , , , , , ,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS, , , , , ,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS,0,
290, , , , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , ,FAIL, ,PASS,2,
291, , , , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , ,FAIL, ,PASS,2,
292, , , , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , ,FAIL, ,PASS,2,
293, , , , , , , ,EXC, , , , , , , , , , , , , , , , , , , , , , , , , , , ,EXC, ,EXC,3,
294, , , , , , , ,EXC, , , , , , , , , , , , , , , , , , , , , , , , , , , ,EXC, ,EXC,3,
295, , , , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , ,FAIL, , ,2,
296, , , , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , ,FAIL, , ,2,
297, , , , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS, , ,1,
298, , , , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , ,FAIL, , ,2,
299, , , , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS, , ,0,
3,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,38,
30, ,PASS,EXC, , , , , ,PASS,FAIL, , , , , , , ,PASS,PASS,PASS,PASS,EXC,PASS, ,PASS, , , , , ,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS,3,
300, , , , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS, , ,1,
301, , , , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS, , ,0,
302, , , , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , ,FAIL, , ,2,
303, , , , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS, , ,0,
304, , , , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS, ,PASS,1,
305, , , , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS, ,PASS,1,
306, , , , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , ,FAIL, ,PASS,2,
307, , , , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS, ,PASS,0,
308, , , , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS, ,PASS,1,
309, , , , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS, ,PASS,1,
31, ,PASS,PASS, , , , , ,EXC,PASS, , , , , , , ,PASS,PASS,PASS,PASS,PASS,EXC, ,PASS, , , , , ,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS,2,
310, , , , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS, ,PASS,1,
311, , , , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , ,FAIL, , ,2,
312, , , , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS, ,PASS,1,
313, , , , , , , ,FAIL, , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , , , ,1,
314, , , , , , , ,FAIL, , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , ,PASS, ,PASS,1,
315, , , , , , , ,FAIL, , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , ,EXC, ,PASS,2,
316, , , , , ,FAIL, , , , , , , ,PASS, , , , , , , , , , , ,PASS, , , , , , , , , , , ,PASS,1,
317, , , , , ,FAIL, , , , , , , ,EXC, , , , , , , , , , , ,EXC, , , , , , , , , , , ,PASS,3,
318, , , , , ,FAIL, , , , , , , ,EXC, , , , , , , , , , , ,EXC, , , , , , , , , , , ,PASS,3,
319, , , , , ,FAIL, , , , , , , ,PASS, , , , , , , , , , , ,PASS, , , , , , , , , , , ,PASS,1,
32, ,PASS,EXC, , , , , ,PASS,PASS, , , , , , , ,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS, , , , , ,PASS,PASS,PASS,PASS,PASS, ,PASS,EXC,2,
320, , , , , ,EXC, , , , , , , ,EXC, , , , , , , , , , , ,EXC, , , , , , , , , , , ,PASS,3,
321, , , , , ,FAIL, , , , , , , ,PASS, , , , , , , , , , , ,PASS, , , , , , , , , , , ,PASS,1,
322, , , , , ,EXC, , , , , , , ,EXC, , , , , , , , , , , ,EXC, , , , , , , , , , , ,PASS,3,
323, , , , , ,EXC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,EXC,2,
324, , , , , ,EXC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,EXC,2,
325, , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS,0,
326, , , , , ,EXC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,EXC,2,
327, , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS,0,
328, , , , , ,EXC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,EXC,2,
329, , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS,1,
33, ,PASS,EXC, , , , , ,EXC,PASS, , , , , , , ,PASS,PASS,PASS,PASS,PASS,EXC, ,PASS, , , , , ,PASS,PASS,PASS,PASS,PASS, ,PASS,EXC,4,
330, , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS,1,
331, , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS,1,
332, , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS,1,
333, , , , , ,EXC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,EXC,2,
334, , , , , ,EXC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,EXC,2,
335, , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS,0,
336, , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS,0,
337, , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS,1,
338, , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS,1,
339, , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS,1,
34, ,PASS,EXC, , , , , ,EXC,PASS, , , , , , , ,PASS,PASS,PASS,PASS,PASS,EXC, ,PASS, , , , , ,PASS,PASS,PASS,PASS,PASS, ,PASS,EXC,4,
340, , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS,0,
341, , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS,0,
342, , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS,1,
343, , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS,0,
344, , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS,1,
345, , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS,1,
346, , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS,1,
347, , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS,0,
348, , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS,1,
349, , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS,1,
35, ,PASS,EXC, , , , , , ,FAIL, , , , , , , ,PASS,PASS,PASS,PASS,EXC, , ,PASS, , , , , ,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS,3,
350, , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS,1,
351, , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS,1,
352, , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS,1,
353, , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS,1,
354, , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS,1,
355, , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS,0,
356, , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS,1,
357, , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS,0,
358, , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS,1,
359, , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS,0,
36, ,PASS,EXC, , , , , , ,FAIL, , , , , , , ,PASS,PASS,PASS,PASS,EXC, , ,PASS, , , , , ,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS,3,
360, , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS,1,
361, , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS,1,
362, , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS,1,
363, , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS,0,
364, , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS,1,
365, , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS,1,
366, , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS,1,
367, , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS,1,
368, , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS,1,
369, , , , , ,FAIL, , , , , , , ,EXC, , , , , , , , , , , ,EXC, , , , , , , , , , , , ,3,
37, ,EXC,PASS, , , , , , ,EXC, , , , , , , ,PASS,PASS,PASS,PASS,PASS, , ,EXC, , , , , ,PASS,PASS,PASS,EXC,PASS, ,PASS,PASS,4,
370, , , , , ,FAIL, , , , , , , ,PASS, , , , , , , , , , , ,PASS, , , , , , , , , , , ,PASS,1,
371, , , , , ,FAIL, , , , , , , ,EXC, , , , , , , , , , , ,EXC, , , , , , , , , , , ,PASS,3,
38, ,PASS,PASS, , , , , , ,EXC, , , , , , , ,PASS,PASS,PASS,PASS,PASS, , ,PASS, , , , , ,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS,1,
39, ,PASS,EXC, , , , , , ,EXC, , , , , , , ,PASS,PASS,PASS,PASS,EXC, , ,PASS, , , , , ,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS,3,
4,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS,PASS,EXC,EXC,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,EXC,PASS,PASS,PASS,PASS,PASS,PASS,PASS,EXC,PASS,EXC,17,
40, ,EXC,EXC, , , , , , ,EXC, , , , , , , ,PASS,PASS,PASS,PASS,EXC, , ,EXC, , , , , ,PASS,PASS,PASS,EXC,PASS, ,PASS,PASS,6,
41, ,EXC,EXC, , , , , , ,EXC, , , , , , , ,PASS,PASS,PASS,PASS,EXC, , ,EXC, , , , , ,PASS,PASS,PASS,EXC,PASS, ,PASS,PASS,6,
42, ,PASS,EXC, , , , , , ,FAIL, , , , , , , ,PASS,PASS,PASS,PASS,EXC, , ,PASS, , , , , ,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS,3,
43, ,EXC,PASS, , , , , , ,EXC, , , , , , , ,PASS,PASS,PASS,PASS,PASS, , ,EXC, , , , , ,PASS,PASS,PASS,EXC,PASS, ,PASS,PASS,4,
44, ,EXC,EXC, , , , , ,EXC,EXC, , , , , , , ,PASS,PASS,PASS,PASS,EXC,EXC, ,EXC, , , , , ,PASS,PASS,PASS,EXC,PASS, ,PASS,EXC,9,
45, ,PASS,PASS, , , , , ,PASS,PASS, , , , , , , ,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS, , , , , ,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS,0,
46, ,PASS,EXC, , , , , ,PASS,FAIL, , , , , , , ,PASS,PASS,PASS,PASS,EXC,PASS, ,PASS, , , , , ,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS,3,
47, ,EXC,PASS, , , , , ,PASS,EXC, , , , , , , ,PASS,PASS,PASS,PASS,PASS,PASS, ,EXC, , , , , ,PASS,PASS,PASS,EXC,PASS, ,PASS,PASS,4,
48, ,PASS,EXC, , , , , ,EXC,PASS, , , , , , , ,PASS,PASS,PASS,PASS,PASS,EXC, ,PASS, , , , , ,PASS,PASS,PASS,PASS,PASS, ,PASS,EXC,4,
49, ,EXC,EXC, , , , , ,EXC,EXC, , , , , , , ,PASS,PASS,PASS,PASS,PASS,EXC, ,EXC, , , , , ,PASS,PASS,PASS,EXC,PASS, ,PASS,EXC,8,
5, ,FAIL,EXC, , , , , ,FAIL,FAIL, , , , , , , ,FAIL,FAIL,FAIL,FAIL,FAIL,EXC,EXC,FAIL, , , , , ,FAIL,FAIL,FAIL,EXC,FAIL, ,FAIL,FAIL,19,
50, ,EXC,EXC, , , , , ,EXC,EXC, , , , , , , ,PASS,PASS,PASS,PASS,PASS,EXC, ,EXC, , , , , ,PASS,PASS,PASS,EXC,PASS, ,PASS,EXC,8,
51, , ,PASS, , , , , , ,PASS, , , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , ,0,
52, ,PASS,FAIL, , , , , ,PASS,PASS, , , , , , , ,PASS,PASS,PASS,PASS, ,PASS, ,PASS, , , , , ,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS,1,
53, ,EXC,EXC, , , , , ,EXC,EXC, , , , , , , ,EXC,EXC,EXC,EXC, ,EXC, ,EXC, , , , , ,EXC,EXC,EXC,EXC,EXC, ,EXC,EXC,17,
54, ,PASS,FAIL, , , , , ,FAIL,PASS, , , , , , , ,PASS,PASS,PASS,PASS, ,PASS, ,PASS, , , , , ,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS,2,
55, ,EXC,EXC, , , , , ,EXC,EXC, , , , , , , ,EXC,EXC,EXC,EXC, ,EXC, ,EXC, , , , , ,EXC,EXC,EXC,EXC,EXC, ,EXC,EXC,17,
56, ,EXC,EXC, , , , , ,EXC,EXC, , , , , , , ,PASS,PASS,PASS,PASS, ,EXC, ,EXC, , , , , ,PASS,PASS,PASS,EXC,PASS, ,PASS,EXC,8,
57, ,PASS,PASS, , , , , ,PASS,PASS, , , , , , , ,PASS,PASS,PASS,PASS, ,PASS, ,PASS, , , , , ,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS,0,
58, ,PASS,FAIL, , , , , ,PASS,PASS, , , , , , , ,PASS,PASS,PASS,PASS, ,PASS, ,PASS, , , , , ,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS,1,
59, ,EXC,EXC, , , , , ,EXC,EXC, , , , , , , ,PASS,PASS,PASS,PASS, ,EXC, ,EXC, , , , , ,PASS,PASS,PASS,EXC,PASS, ,PASS,EXC,8,
6, ,PASS,EXC, , , , , ,PASS,PASS, , , , , , , ,PASS,PASS,PASS,PASS,PASS,PASS,EXC,PASS, , , , , ,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS,2,
60, ,EXC,EXC, , , , , ,EXC,EXC, , , , , , , ,PASS,PASS,PASS,PASS, ,EXC, ,EXC, , , , , ,PASS,PASS,PASS,EXC,PASS, ,PASS,EXC,8,
61, ,PASS,FAIL, , , , , ,PASS,PASS, , , , , , , ,PASS,PASS,PASS,PASS, ,PASS, ,PASS, , , , , ,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS,1,
62, ,EXC,EXC, , , , , ,EXC,EXC, , , , , , , ,PASS,PASS,PASS,PASS, ,EXC, ,EXC, , , , , ,PASS,PASS,PASS,EXC,PASS, ,PASS,EXC,8,
63, ,EXC,EXC, , , , , ,EXC,EXC, , , , , , , ,PASS,PASS,PASS,PASS, ,EXC, ,EXC, , , , , ,PASS,PASS,PASS,EXC,PASS, ,PASS,EXC,8,
64, ,EXC,EXC, , , , , ,EXC,EXC, , , , , , , ,PASS,PASS,PASS,PASS, ,EXC, ,EXC, , , , , ,PASS,PASS,PASS,EXC,PASS, ,PASS,EXC,8,
65, ,EXC,EXC, , , , , ,EXC,EXC, , , , , , , ,PASS,PASS,PASS,PASS, ,EXC, ,EXC, , , , , ,PASS,PASS,PASS,EXC,PASS, ,PASS,EXC,8,
66, ,PASS,EXC, , , , , ,PASS,PASS, , , , , , , ,PASS,PASS,PASS,PASS, ,PASS, ,PASS, , , , , ,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS,1,
67, ,PASS,EXC, , , , , ,PASS,PASS, , , , , , , ,PASS,PASS,PASS,PASS, ,PASS, ,PASS, , , , , ,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS,1,
68, ,PASS,PASS, , , , , ,PASS,PASS, , , , , , , ,PASS,PASS,PASS,PASS, ,PASS, ,PASS, , , , , ,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS,0,
69, ,EXC,EXC, , , , , ,EXC,EXC, , , , , , , ,PASS,PASS,PASS,PASS, ,EXC, ,EXC, , , , , ,PASS,PASS,PASS,EXC,PASS, ,PASS,EXC,8,
7, ,FAIL,FAIL, , , , , ,FAIL,FAIL, , , , , , , ,FAIL,FAIL,FAIL,FAIL,FAIL,EXC,PASS,FAIL, , , , , ,FAIL,FAIL,FAIL,EXC,FAIL, ,FAIL,FAIL,18,
