Mutant,org.apache.commons.math3.optimization.linear.SimplexSolverTest[testSingleVariableAndConstraint],org.apache.commons.math3.optimization.linear.SimplexSolverTest[testMath290GEQ],org.apache.commons.math3.optimization.linear.SimplexSolverTest[testMath290LEQ],org.apache.commons.math3.optimization.linear.SimplexSolverTest[testTrivialModel],org.apache.commons.math3.optimization.linear.SimplexSolverTest[testInfeasibleSolution],org.apache.commons.math3.optimization.linear.SimplexSolverTest[testMath713NegativeVariable],org.apache.commons.math3.optimization.linear.SimplexSolverTest[testModelWithNoArtificialVars],org.apache.commons.math3.optimization.linear.SimplexSolverTest[testDegeneracy],org.apache.commons.math3.optimization.linear.SimplexSolverTest[testMath434UnfeasibleSolution],org.apache.commons.math3.optimization.linear.SimplexSolverTest[testMath434NegativeVariable],org.apache.commons.math3.optimization.linear.SimplexSolverTest[testEpsilon],org.apache.commons.math3.optimization.linear.SimplexSolverTest[testSimplexSolver],org.apache.commons.math3.optimization.linear.SimplexSolverTest[testMath288],org.apache.commons.math3.optimization.linear.SimplexSolverTest[testMath781],org.apache.commons.math3.optimization.linear.SimplexSolverTest[testMinimization],org.apache.commons.math3.optimization.linear.SimplexSolverTest[testMath434PivotRowSelection],org.apache.commons.math3.optimization.linear.SimplexSolverTest[testSolutionWithNegativeDecisionVariable],org.apache.commons.math3.optimization.linear.SimplexSolverTest[testMath272],org.apache.commons.math3.optimization.linear.SimplexSolverTest[testMath286],org.apache.commons.math3.optimization.linear.SimplexSolverTest[testMath434PivotRowSelection2],org.apache.commons.math3.optimization.linear.SimplexSolverTest[testMath293],org.apache.commons.math3.optimization.linear.SimplexSolverTest[testMath828],org.apache.commons.math3.optimization.linear.SimplexSolverTest[testUnboundedSolution],org.apache.commons.math3.optimization.linear.SimplexSolverTest[testMath828Cycle],org.apache.commons.math3.optimization.linear.SimplexSolverTest[testRestrictVariablesToNonNegative],org.apache.commons.math3.optimization.linear.SimplexSolverTest[testLargeModel],org.apache.commons.math3.optimization.linear.SimplexSolver_ESTest[test0],org.apache.commons.math3.optimization.linear.SimplexSolver_ESTest[test1],Total,Equiv?
232, , ,PASS,EXC,PASS,EXC, ,EXC,PASS,EXC,EXC,EXC, ,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, , ,19,
233, , ,FAIL,PASS,FAIL,PASS, ,PASS,FAIL,PASS,PASS,PASS, ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, , ,3,
234,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,28,
235,PASS,PASS,FAIL,PASS,FAIL,PASS,PASS,PASS,FAIL,FAIL,PASS,PASS,PASS,FAIL,PASS,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,14,
236,PASS,PASS, ,PASS, ,FAIL,PASS,PASS, ,FAIL,PASS,PASS,PASS,FAIL,FAIL,PASS,FAIL,PASS,FAIL,PASS,FAIL,PASS,FAIL,PASS,FAIL,PASS,PASS,PASS,9,
237,TIME, , , , , ,TIME,TIME, ,TIME,TIME, ,TIME,TIME,TIME, ,TIME, ,TIME,TIME,TIME,TIME,EXC,TIME,TIME, , ,PASS,16,
238,EXC,EXC, ,EXC, ,EXC,EXC,EXC, ,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,TIME, ,TIME,EXC,EXC,FAIL, ,23,
24,EXC, , ,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS,EXC,EXC,EXC, ,PASS,23,
25,EXC, , ,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS,EXC,EXC,EXC, ,PASS,23,
26,EXC, , ,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, ,EXC,25,
27,EXC, , ,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, ,PASS,24,
28,PASS, , ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS,0,
29,EXC, , ,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, ,EXC,25,
3,PASS, , ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS,0,
30,EXC, , ,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, ,EXC,25,
31,PASS, , ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,EXC,PASS,PASS,PASS, ,EXC,2,
32,EXC, , ,PASS,EXC,EXC,EXC,EXC,PASS,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS,EXC,EXC,EXC, ,PASS,21,
33,PASS, , ,PASS,PASS,EXC,PASS,PASS,PASS,PASS,PASS,PASS,PASS,EXC,PASS,EXC,EXC,EXC,PASS,EXC,PASS,EXC,PASS,EXC,PASS,EXC, ,PASS,9,
34,PASS, , ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS,0,
35,EXC, , ,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, ,EXC,25,
36,EXC, , ,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS,EXC,EXC,EXC, ,EXC,24,
37,EXC, , ,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS,EXC,EXC,EXC, ,PASS,23,
38,EXC, , ,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS,EXC,EXC,EXC, ,EXC,24,
39,EXC, , ,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS,EXC,EXC,EXC, ,PASS,23,
4,PASS, , ,EXC,EXC,EXC,PASS,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS,EXC, ,PASS,20,
40,EXC, , ,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, ,EXC,25,
41,EXC, , ,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, , ,24,
42,EXC, , ,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, , ,24,
43,PASS, , ,PASS,FAIL,PASS,FAIL,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,PASS,PASS,FAIL,FAIL,EXC,FAIL,PASS,FAIL,FAIL,FAIL, , ,12,
44,EXC, , ,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, , ,24,
45,EXC, , ,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, , ,24,
46,EXC, , ,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, , ,24,
47,EXC, , ,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS,EXC,EXC,EXC, , ,23,
48,EXC, , ,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS,EXC,EXC,EXC,EXC,PASS,EXC,EXC,EXC,EXC,EXC,EXC,PASS,EXC,EXC,EXC, , ,21,
49,PASS, , ,PASS,PASS,PASS,PASS,PASS,PASS,EXC,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,EXC,PASS,PASS,PASS,PASS,PASS,PASS, , ,3,
5,PASS, , ,EXC,EXC,EXC,PASS,EXC,EXC,EXC,PASS,EXC,PASS,EXC,EXC,PASS,EXC,EXC,EXC,EXC,PASS,EXC,PASS,EXC,PASS,EXC, ,PASS,16,
50,EXC, , ,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS,EXC,EXC,EXC, , ,23,
51,PASS, , ,PASS,PASS,PASS,PASS,PASS,PASS,EXC,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,EXC,PASS,PASS,PASS,PASS,PASS,PASS, , ,2,
52,PASS, , ,PASS,PASS,PASS,PASS,PASS,PASS,EXC,EXC,PASS,EXC,EXC,PASS,EXC,EXC,EXC,PASS,EXC,EXC,EXC,PASS,EXC,EXC,EXC, , ,13,
53,EXC, , ,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS,EXC,EXC,EXC, , ,23,
54,EXC, , ,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS,EXC,EXC,EXC, , ,23,
55,EXC, , ,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS,EXC,EXC,EXC, , ,23,
56,PASS, , ,PASS,PASS,PASS,PASS,PASS,PASS,EXC,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,EXC,PASS,PASS,PASS,PASS,PASS,PASS, , ,2,
57,EXC, , ,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS,EXC,EXC,EXC, , ,23,
58,PASS, , ,PASS,PASS,PASS,PASS,PASS,PASS,EXC,EXC,PASS,EXC,EXC,PASS,EXC,EXC,EXC,PASS,EXC,EXC,EXC,PASS,EXC,EXC,EXC, , ,13,
59,PASS, , ,PASS,FAIL,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,FAIL,FAIL,EXC,PASS,PASS,PASS,EXC,PASS, , ,7,
6,PASS, , ,PASS,FAIL,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,PASS,FAIL,PASS,FAIL,PASS,FAIL,FAIL,FAIL, ,PASS,9,
60,PASS, , ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,EXC,PASS, , ,2,
61,PASS, , ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,FAIL,PASS,PASS, , ,3,
62,PASS, , ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, , ,2,
63,PASS, , ,PASS,FAIL,PASS,FAIL,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,PASS,PASS,FAIL,FAIL,EXC,FAIL,PASS,FAIL,FAIL,FAIL, , ,12,
64,PASS, , ,PASS,FAIL,PASS,PASS,PASS,FAIL,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,PASS,FAIL,FAIL,PASS, , ,7,
65,PASS, , ,PASS,FAIL,PASS,FAIL,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,PASS,PASS,FAIL,FAIL,EXC,FAIL,PASS,FAIL,FAIL,FAIL, , ,12,
66,PASS, , ,PASS,FAIL,PASS,FAIL,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,PASS,PASS,FAIL,FAIL,EXC,FAIL,PASS,FAIL,FAIL,FAIL, , ,12,
67,PASS, , ,PASS,FAIL,PASS,FAIL,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,PASS,PASS,FAIL,FAIL,EXC,FAIL,PASS,FAIL,FAIL,FAIL, , ,12,
68,PASS, , ,PASS,FAIL,PASS,FAIL,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,PASS,PASS,FAIL,FAIL,EXC,FAIL,PASS,FAIL,FAIL,FAIL, , ,12,
69,PASS, , ,PASS,FAIL,PASS,PASS,PASS,FAIL,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,PASS,FAIL,FAIL,PASS, , ,7,
7,EXC, , ,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, ,EXC,25,
70,PASS, , ,PASS,FAIL,PASS,PASS,PASS,FAIL,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,PASS,FAIL,FAIL,PASS, , ,7,
71,PASS, , ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, , ,0,
72,PASS, , ,PASS,FAIL,PASS,FAIL,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,PASS,PASS,FAIL,FAIL,EXC,FAIL,PASS,FAIL,FAIL,FAIL, , ,12,
73, , , , , , , ,PASS, , ,PASS, ,PASS, , , , ,PASS,PASS,PASS,PASS,PASS, ,PASS, ,PASS, , ,0,
74,PASS, , ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, , ,0,
75,EXC, , ,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS,EXC,EXC,EXC, , ,23,
76,PASS, , ,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,PASS,PASS,EXC,FAIL, , ,6,
77,PASS, , ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, , ,0,
78,EXC, , ,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS,EXC,EXC,EXC, , ,23,
79,EXC, , ,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS,EXC,EXC,EXC, , ,23,
8,EXC, , ,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, ,EXC,25,
80,EXC, , ,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS,EXC,EXC,EXC, , ,23,
81,EXC, , ,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS,EXC,EXC,EXC, , ,23,
82,PASS, , ,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,PASS,PASS,EXC,FAIL, , ,6,
83,PASS, , ,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,FAIL,FAIL,PASS,FAIL,EXC,FAIL, , ,7,
84,PASS, , ,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,PASS,PASS,FAIL,FAIL,EXC,PASS,PASS,PASS,PASS,FAIL, , ,7,
85,EXC, , ,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS,EXC,EXC,EXC, , ,23,
86,EXC, , ,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS,EXC,EXC,EXC, ,EXC,24,
87,PASS, , ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,EXC,PASS,PASS,PASS, ,EXC,2,
88,EXC, , ,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS,EXC,EXC,EXC, ,EXC,24,
89,PASS, , ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,EXC,PASS,PASS,PASS, ,EXC,2,
9,PASS, , ,PASS,FAIL,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,PASS,FAIL,PASS,FAIL,PASS,FAIL,FAIL,FAIL, ,PASS,9,
90,PASS, , ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS,0,
91,EXC, , ,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS,EXC,EXC,EXC, ,EXC,24,
92,EXC, , ,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS,EXC,EXC,EXC, ,PASS,23,
93,PASS, , ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,EXC,PASS,PASS,PASS, ,EXC,2,
94,EXC, , ,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS,EXC,EXC,EXC, ,PASS,23,
95, , , , , , , , , , , , , , , , , , , , , , ,EXC, , , , ,EXC,2,
96,PASS, , ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, , ,0,
97,PASS, , ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, , ,0,
98,PASS, , ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, , ,0,
99,PASS, , ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, , ,0,
